peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671850,3672147,3.61752,5.16449,131,297,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,20,chr1,4497132,4497521,2.99732,3.32691,258,389,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,32,chr1,4784955,4786296,12.77778,56.23770,637,1341,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807386,4808711,19.33935,104.65642,631,1325,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807386,4808711,19.33935,104.65642,631,1325,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4857304,4858897,23.13815,135.37425,800,1593,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,51,chr1,5916626,5917397,3.45345,4.54851,444,771,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,54,chr1,6213761,6215785,19.85736,108.74330,1033,2024,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,55,chr1,6358825,6359510,3.10526,4.33235,518,685,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,57,chr1,6382817,6383328,6.21622,16.61737,330,511,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
17,58,chr1,6441174,6441787,14.84986,70.78264,244,613,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
18,67,chr1,7087819,7088793,10.76695,50.23381,736,974,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
19,67,chr1,7088955,7089998,12.43244,53.89101,197,1043,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
21,74,chr1,7397673,7397911,3.79880,5.81831,96,238,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
22,74,chr1,7398352,7398721,9.32433,33.93665,150,369,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
23,101,chr1,9544753,9545263,7.94295,25.85653,318,510,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
24,101,chr1,9545401,9546861,12.60511,55.06136,522,1460,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
24,102,chr1,9545401,9546861,12.60511,55.06136,522,1460,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
25,107,chr1,9699356,9701339,13.12313,58.60703,813,1983,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
26,108,chr1,9745472,9745910,3.79880,5.81831,155,438,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
27,108,chr1,9746935,9748484,17.26727,88.66032,1168,1549,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
27,109,chr1,9746935,9748484,17.26727,88.66032,1168,1549,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
29,110,chr1,9797466,9799357,26.76427,166.14159,837,1891,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
31,113,chr1,9908682,9909040,3.47059,5.04589,245,358,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
32,114,chr1,9942204,9944611,29.52704,190.41624,1700,2407,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,115,chr1,9942204,9944611,29.52704,190.41624,1700,2407,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
33,116,chr1,9967254,9968350,5.69820,14.06495,934,1096,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
33,117,chr1,9967254,9968350,5.69820,14.06495,934,1096,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
34,119,chr1,10008721,10009338,4.48949,8.59050,420,617,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
35,121,chr1,10036867,10040607,18.13064,95.25436,3116,3740,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
35,122,chr1,10036867,10040607,18.13064,95.25436,3116,3740,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
36,126,chr1,10231479,10233950,25.03755,151.32846,1287,2471,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
37,136,chr1,10993171,10994619,15.30213,80.48114,511,1448,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
39,140,chr1,11413860,11414756,9.15166,32.89680,214,896,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
39,141,chr1,11413860,11414756,9.15166,32.89680,214,896,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
40,151,chr1,12691875,12693777,10.36036,40.33837,1177,1902,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
46,152,chr1,12991372,12992799,5.91889,20.27842,1265,1427,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
49,165,chr1,13372585,13374885,27.10962,169.13783,930,2300,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
49,166,chr1,13372585,13374885,27.10962,169.13783,930,2300,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
52,168,chr1,13588987,13589903,25.90091,158.70013,306,916,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
53,168,chr1,13590056,13590413,6.73424,19.27698,142,357,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
54,170,chr1,13659951,13660830,6.96200,29.12995,358,879,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
57,179,chr1,14309418,14310306,9.79113,41.09920,513,888,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
59,181,chr1,14754849,14756131,6.56156,18.37886,771,1282,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
60,185,chr1,14918641,14919023,4.31682,7.87095,165,382,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
61,188,chr1,15286107,15287677,11.56907,48.13055,884,1570,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
62,195,chr1,15805129,15806670,23.31082,136.80931,871,1541,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
63,198,chr1,15892302,15893234,7.71146,28.73397,428,932,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
64,200,chr1,16092819,16093616,12.43244,53.89101,382,797,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
65,201,chr1,16102946,16104372,21.06607,118.40760,1108,1426,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
65,202,chr1,16102946,16104372,21.06607,118.40760,1108,1426,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
66,201,chr1,16104471,16107104,14.15916,65.84860,412,2633,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
66,202,chr1,16104471,16107104,14.15916,65.84860,412,2633,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
67,206,chr1,16518421,16520298,22.79280,132.51344,1497,1877,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
68,207,chr1,16617471,16619316,26.93695,167.63843,1440,1845,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
68,208,chr1,16617471,16619316,26.93695,167.63843,1440,1845,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
69,208,chr1,16619465,16619780,3.27428,5.39303,236,315,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
70,209,chr1,16656054,16657063,13.44461,64.50906,541,1009,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
70,210,chr1,16656054,16657063,13.44461,64.50906,541,1009,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
71,209,chr1,16657354,16657643,2.77054,3.28510,168,289,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
71,210,chr1,16657354,16657643,2.77054,3.28510,168,289,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
72,211,chr1,16664975,16666181,22.27478,128.24603,553,1206,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
72,212,chr1,16664975,16666181,22.27478,128.24603,553,1206,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
73,213,chr1,16687817,16689071,6.48055,22.53144,737,1254,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
74,218,chr1,17096651,17098269,11.74175,49.27024,899,1618,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
75,229,chr1,17727113,17728268,13.81382,63.41337,514,1155,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
75,230,chr1,17727113,17728268,13.81382,63.41337,514,1155,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
76,236,chr1,18057925,18058923,7.94295,25.85653,597,998,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
76,237,chr1,18057925,18058923,7.94295,25.85653,597,998,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
77,250,chr1,19209123,19209554,2.47800,2.36112,139,431,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
83,267,chr1,20818170,20818889,3.31283,4.44987,150,719,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
84,266,chr1,20819203,20820306,14.84986,70.78264,869,1103,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
84,267,chr1,20819203,20820306,14.84986,70.78264,869,1103,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
85,270,chr1,20890008,20891726,10.70571,42.53063,750,1718,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
85,271,chr1,20890008,20891726,10.70571,42.53063,750,1718,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
86,274,chr1,20951354,20952262,8.46096,28.82086,493,908,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
88,275,chr1,21077740,21079884,11.56907,48.13055,1903,2144,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
88,276,chr1,21077740,21079884,11.56907,48.13055,1903,2144,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
89,278,chr1,21218382,21219383,9.19316,44.35848,308,1001,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
90,296,chr1,21960360,21962663,11.05105,44.75079,1249,2303,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
92,300,chr1,22805310,22806454,13.46847,60.99900,623,1144,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
93,305,chr1,23256241,23257629,14.50451,68.30562,369,1388,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
96,314,chr1,23761474,23762769,6.21622,16.61737,392,1295,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
98,315,chr1,23921525,23922843,18.47598,97.92101,651,1318,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
100,316,chr1,24005018,24005849,8.68943,40.34542,467,831,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
100,317,chr1,24005018,24005849,8.68943,40.34542,467,831,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
101,318,chr1,24099088,24100983,22.44746,129.66525,820,1895,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
101,319,chr1,24099088,24100983,22.44746,129.66525,820,1895,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
104,323,chr1,24586289,24587625,8.43896,33.57035,397,1336,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
105,332,chr1,24678364,24679372,13.46847,60.99900,559,1008,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
106,360,chr1,25829289,25830655,5.69820,14.06495,1161,1366,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
106,361,chr1,25829289,25830655,5.69820,14.06495,1161,1366,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
108,391,chr1,30872643,30874320,22.79280,132.51344,738,1677,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
109,392,chr1,30948699,30950780,32.46247,216.89796,682,2081,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
109,393,chr1,30948699,30950780,32.46247,216.89796,682,2081,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
110,411,chr1,32172695,32173321,4.83484,10.08016,207,626,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
111,437,chr1,33669255,33670889,8.14796,31.61333,858,1634,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
111,438,chr1,33669255,33670889,8.14796,31.61333,858,1634,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
112,440,chr1,33719664,33720859,20.72073,115.62869,601,1195,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
114,442,chr1,33756327,33758160,18.13064,95.25436,1293,1833,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
115,443,chr1,33812750,33815095,25.72824,157.22037,1355,2345,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
116,446,chr1,33907343,33908664,10.01502,38.17447,620,1321,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
116,447,chr1,33907343,33908664,10.01502,38.17447,620,1321,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
120,459,chr1,34432771,34433437,7.72994,26.78674,373,666,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
120,460,chr1,34432771,34433437,7.72994,26.78674,373,666,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
121,459,chr1,34434028,34434436,3.45345,4.54851,144,408,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
121,460,chr1,34434028,34434436,3.45345,4.54851,144,408,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
122,459,chr1,34434887,34435561,10.18769,39.25282,229,674,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
122,460,chr1,34434887,34435561,10.18769,39.25282,229,674,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
123,461,chr1,34439014,34439375,8.11562,26.83578,249,361,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
123,462,chr1,34439014,34439375,8.11562,26.83578,249,361,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
124,461,chr1,34439866,34440583,10.01502,38.17447,203,717,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
124,462,chr1,34439866,34440583,10.01502,38.17447,203,717,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
125,461,chr1,34441574,34441924,2.93544,2.82140,109,350,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
126,464,chr1,34459182,34460346,5.50734,13.20273,314,1164,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
127,465,chr1,34472389,34473244,8.99197,34.69268,500,855,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
128,465,chr1,34473298,34473592,3.31283,4.44987,156,294,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
129,472,chr1,34578998,34579551,3.79880,5.81831,393,553,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
129,473,chr1,34578998,34579551,3.79880,5.81831,393,553,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
130,478,chr1,34677998,34678664,6.73424,19.27698,460,666,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
131,479,chr1,34750232,34751306,8.46096,28.82086,485,1074,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
131,480,chr1,34750232,34751306,8.46096,28.82086,485,1074,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
132,481,chr1,34801479,34802370,7.43400,32.75241,346,891,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
133,484,chr1,34841401,34843783,21.58409,122.60400,1458,2382,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
134,485,chr1,34849716,34850573,14.84986,70.78264,384,857,ENSMUSG00000026123,226971.0,Plekhb2,chr1,34849976,34879580,1
140,500,chr1,36067882,36070169,12.95046,57.41937,660,2287,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
141,504,chr1,36243085,36244415,17.43995,89.97076,977,1330,ENSMUSG00000037470,320011.0,Uggt1,chr1,36140027,36244720,-1
145,506,chr1,36307750,36308747,7.42493,22.97662,338,997,ENSMUSG00000037447,214855.0,Arid5a,chr1,36307733,36324029,1
147,509,chr1,36367536,36369497,24.51953,146.94016,1459,1961,ENSMUSG00000010453,226976.0,Kansl3,chr1,36335730,36369181,-1
148,511,chr1,36444447,36445289,11.54160,48.06196,533,842,ENSMUSG00000001143,214895.0,Lman2l,chr1,36419871,36445271,-1
149,512,chr1,36470947,36472666,9.98205,38.09151,897,1719,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
149,513,chr1,36470947,36472666,9.98205,38.09151,897,1719,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
150,513,chr1,36472814,36474373,4.99103,10.81709,1193,1559,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
153,515,chr1,36511575,36513673,15.54055,75.79723,505,2098,ENSMUSG00000001138,94218.0,Cnnm3,chr1,36511867,36528237,1
157,519,chr1,36546538,36547262,14.15916,65.84860,509,724,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
158,519,chr1,36547501,36547858,3.45345,4.54851,262,357,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
159,519,chr1,36548733,36549615,3.63748,6.16309,410,882,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
160,520,chr1,36554590,36555305,3.50470,4.90044,618,715,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
161,520,chr1,36555387,36559389,24.17418,144.03070,2493,4002,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
161,521,chr1,36555387,36559389,24.17418,144.03070,2493,4002,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
166,525,chr1,36691058,36692581,13.61943,62.86557,849,1523,ENSMUSG00000061518,12859.0,Cox5b,chr1,36691449,36693681,1
167,526,chr1,36708142,36710015,21.23875,119.80292,1640,1873,ENSMUSG00000102416,71166.0,4933424G06Rik,chr1,36710149,36757953,1
173,540,chr1,37299890,37300972,10.50199,58.66997,292,1082,ENSMUSG00000102231,,1700074A21Rik,chr1,37299352,37299697,-1
173,541,chr1,37299890,37300972,10.50199,58.66997,292,1082,ENSMUSG00000026113,269180.0,Inpp4a,chr1,37299865,37410736,1
