peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,19,chr1,4494375,4495472,7.06568,21.70101,915,1097,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4495566,4496822,4.88755,13.20342,659,1256,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4496864,4503342,6.05759,18.47273,1744,6478,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496864,4503342,6.05759,18.47273,1744,6478,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
14,51,chr1,5915752,5918137,4.95621,12.43875,460,2385,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,51,chr1,5918244,5919975,4.39642,8.49797,664,1731,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,55,chr1,6358748,6359049,4.33222,7.77682,129,301,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,55,chr1,6359345,6359914,3.21888,4.58340,180,569,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
19,73,chr1,7315808,7316127,2.73408,2.44100,132,319,ENSMUSG00000102768,,Gm19002,chr1,7315451,7316462,1
20,95,chr1,9301463,9301719,3.83235,5.83506,103,256,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,107,chr1,9699668,9700076,2.96454,3.07166,189,408,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
31,110,chr1,9796121,9797255,5.49289,12.84738,906,1134,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
32,110,chr1,9797302,9797554,3.49910,4.62270,72,252,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
35,116,chr1,9963811,9965015,4.81853,11.73211,944,1204,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
36,116,chr1,9965615,9965950,6.90866,20.85172,148,335,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
37,116,chr1,9966299,9967430,5.83183,14.40822,239,1131,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
38,116,chr1,9967546,9968396,6.28060,17.51575,288,850,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
38,117,chr1,9967546,9968396,6.28060,17.51575,288,850,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
39,117,chr1,9968592,9969994,5.52873,20.84316,531,1402,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
40,117,chr1,9970059,9970739,6.33170,16.83449,179,680,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
43,140,chr1,11412544,11413442,3.44181,5.34030,572,898,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
44,141,chr1,11415539,11416029,3.27660,4.12719,103,490,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
51,150,chr1,12670670,12671530,3.71716,6.50575,301,860,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
52,150,chr1,12673399,12674235,3.64544,5.63493,111,836,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
57,151,chr1,12690155,12691230,4.71792,11.75718,680,1075,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
58,151,chr1,12691708,12692660,4.86059,10.89639,603,952,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
67,156,chr1,13126617,13126934,3.55132,5.40065,151,317,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
68,156,chr1,13127050,13127856,5.44545,12.73013,384,806,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
69,156,chr1,13127949,13128588,3.85483,7.11256,377,639,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
70,156,chr1,13128651,13130026,7.49807,22.82264,448,1375,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
80,180,chr1,14752951,14755144,3.71933,8.88834,821,2193,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
81,181,chr1,14755978,14757922,6.99820,20.20469,1356,1944,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
82,181,chr1,14757980,14758335,4.33222,7.77682,146,355,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
