peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
5,19,chr1,4494237,4495452,4.55802,7.22248,509,1215,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4495867,4496862,4.38179,6.60059,508,995,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4495867,4496862,4.38179,6.60059,508,995,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,19,chr1,4496929,4498785,5.08395,9.16002,1236,1856,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,20,chr1,4496929,4498785,5.08395,9.16002,1236,1856,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,20,chr1,4498843,4499413,3.62595,4.60671,452,570,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,20,chr1,4499704,4501305,4.31317,7.97307,223,1601,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
12,51,chr1,5917504,5918087,3.01425,2.62348,395,583,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,51,chr1,5918696,5919412,3.17290,3.10011,422,716,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,107,chr1,9699588,9699955,3.85679,4.82233,186,367,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
19,116,chr1,9966318,9968568,4.45230,8.56118,1423,2250,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
19,117,chr1,9966318,9968568,4.45230,8.56118,1423,2250,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
20,117,chr1,9969016,9969812,3.20009,3.67809,114,796,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
21,117,chr1,9970034,9970365,4.20741,5.99555,129,331,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
23,140,chr1,11412227,11412659,2.78269,2.26040,286,432,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
24,151,chr1,12690910,12691190,4.55802,7.22248,132,280,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
28,156,chr1,13126723,13127658,4.20741,5.99555,697,935,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
29,156,chr1,13127947,13128556,3.68148,4.25969,367,609,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
30,156,chr1,13128642,13129017,3.68351,4.90204,180,375,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
31,156,chr1,13129524,13129961,4.20741,5.99555,190,437,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
42,180,chr1,14753381,14753936,3.77612,4.70249,154,555,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
47,247,chr1,19100455,19101746,5.96049,12.65802,628,1291,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
48,247,chr1,19101919,19103332,3.80747,5.19399,185,1413,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
49,247,chr1,19103370,19104945,4.20741,5.99555,1399,1575,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
49,248,chr1,19103370,19104945,4.20741,5.99555,1399,1575,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
50,248,chr1,19105063,19106086,4.90864,8.50049,359,1023,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
