peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671383,3671891,3.41502,3.02501,165,508,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496628,4497271,3.89191,4.29564,160,643,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496628,4497271,3.89191,4.29564,160,643,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4785286,4785748,5.48153,9.55342,291,462,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,32,chr1,4785803,4786285,6.04493,12.22003,297,482,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,32,chr1,4786746,4786995,3.09710,2.42746,165,249,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807444,4808677,12.31689,39.57057,581,1233,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807444,4808677,12.31689,39.57057,581,1233,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856975,4857702,9.93246,28.11931,536,727,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857764,4858565,9.13765,23.81889,267,801,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,54,chr1,6213977,6215680,39.97625,214.28458,825,1703,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,67,chr1,7088210,7090084,10.40618,54.07795,366,1874,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
17,74,chr1,7397690,7397916,4.68672,6.40204,107,226,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
18,74,chr1,7398160,7398648,6.75322,13.93769,136,488,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,101,chr1,9545453,9546083,5.48153,9.55342,135,630,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
21,102,chr1,9545453,9546083,5.48153,9.55342,135,630,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
22,102,chr1,9548089,9548385,3.73295,3.63784,133,296,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,105,chr1,9630105,9631228,5.32257,8.74441,148,1123,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
26,107,chr1,9700515,9701097,5.95841,11.25093,301,582,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
27,108,chr1,9747247,9748444,25.51072,116.14769,885,1197,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
27,109,chr1,9747247,9748444,25.51072,116.14769,885,1197,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
28,110,chr1,9797741,9798841,9.45557,25.94662,596,1100,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
29,114,chr1,9943714,9944089,7.38485,17.99236,191,375,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
29,115,chr1,9943714,9944089,7.38485,17.99236,191,375,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
30,121,chr1,10037336,10038702,22.80837,98.37514,697,1366,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
30,122,chr1,10037336,10038702,22.80837,98.37514,697,1366,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
31,122,chr1,10038928,10039708,4.99969,8.10564,187,780,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
32,122,chr1,10039751,10040300,10.09142,28.11931,173,549,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
35,126,chr1,10231714,10233856,20.58290,85.46417,1075,2142,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
46,131,chr1,10719458,10719951,3.65494,3.97042,383,493,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
47,136,chr1,10993450,10994264,4.52776,6.40204,181,814,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
58,165,chr1,13371897,13374719,34.25362,174.30891,1124,2822,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
58,166,chr1,13371897,13374719,34.25362,174.30891,1124,2822,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
62,168,chr1,13589031,13589950,27.73619,129.86398,621,919,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
64,170,chr1,13659534,13661253,17.08574,64.86645,754,1719,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
66,195,chr1,15805619,15806474,18.83432,74.32471,232,855,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
67,198,chr1,15892748,15893087,3.03154,2.66442,160,339,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
71,201,chr1,16103686,16106514,32.02815,158.13463,1195,2828,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
71,202,chr1,16103686,16106514,32.02815,158.13463,1195,2828,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
76,204,chr1,16227684,16229103,6.23425,16.72006,564,1419,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
81,207,chr1,16618334,16619345,11.84000,37.20672,592,1011,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
81,208,chr1,16618334,16619345,11.84000,37.20672,592,1011,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
82,209,chr1,16656123,16657973,23.28525,101.29441,630,1850,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
82,210,chr1,16656123,16657973,23.28525,101.29441,630,1850,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
83,211,chr1,16664900,16665654,10.67382,33.34029,512,754,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
83,212,chr1,16664900,16665654,10.67382,33.34029,512,754,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
87,213,chr1,16687758,16689126,15.33716,55.69532,853,1368,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
89,218,chr1,17096829,17097794,5.00464,7.93428,676,965,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
90,227,chr1,17601988,17602391,4.36879,5.68259,172,403,ENSMUSG00000067780,94227.0,Pi15,chr1,17601901,17630939,1
92,260,chr1,20617700,20618008,4.36879,5.68259,177,308,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
93,260,chr1,20618231,20618614,3.73295,3.63784,253,383,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
100,270,chr1,20890541,20891817,11.68104,36.04272,236,1276,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
100,271,chr1,20890541,20891817,11.68104,36.04272,236,1276,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
103,274,chr1,20951109,20951436,4.13294,6.71522,173,327,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
104,274,chr1,20951718,20952091,3.73295,3.63784,184,373,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
110,275,chr1,21078653,21079237,4.52776,6.40204,335,584,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
110,276,chr1,21078653,21079237,4.52776,6.40204,335,584,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
111,275,chr1,21079333,21079906,12.31689,39.57057,343,573,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
111,276,chr1,21079333,21079906,12.31689,39.57057,343,573,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
113,278,chr1,21218552,21219127,8.95008,23.43488,145,575,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
114,280,chr1,21239922,21240409,5.16360,7.93428,327,487,ENSMUSG00000025934,14859.0,Gsta3,chr1,21240589,21265661,1
115,280,chr1,21240992,21241345,4.55174,6.60001,181,353,ENSMUSG00000025934,14859.0,Gsta3,chr1,21240589,21265661,1
120,305,chr1,23255655,23256041,5.32257,8.74441,222,386,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
121,305,chr1,23256187,23257106,15.65509,56.99003,234,919,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
124,315,chr1,23921599,23922416,19.47017,78.46844,500,817,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
125,316,chr1,24005207,24005696,8.34284,20.72311,307,489,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
125,317,chr1,24005207,24005696,8.34284,20.72311,307,489,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
127,318,chr1,24099201,24100328,8.21737,21.48046,921,1127,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
127,319,chr1,24099201,24100328,8.21737,21.48046,921,1127,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
128,318,chr1,24100458,24100902,7.61593,20.74372,245,444,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
128,319,chr1,24100458,24100902,7.61593,20.74372,245,444,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
129,318,chr1,24102741,24102949,3.08809,3.19447,151,208,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
132,322,chr1,24550226,24550763,3.65582,3.86995,167,537,ENSMUSG00000077463,,Gm26418,chr1,24548841,24548977,-1
134,332,chr1,24678262,24679400,15.17820,54.41701,601,1138,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
137,391,chr1,30872763,30874512,21.53667,91.16384,631,1749,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
138,392,chr1,30948721,30950974,25.03383,113.14456,1301,2253,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
138,393,chr1,30948721,30950974,25.03383,113.14456,1301,2253,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
148,403,chr1,31259940,31260636,4.68672,6.40204,511,696,ENSMUSG00000077664,,Gm26145,chr1,31259593,31259719,-1
149,437,chr1,33669434,33670652,5.99791,12.60935,729,1218,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
149,438,chr1,33669434,33670652,5.99791,12.60935,729,1218,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
150,439,chr1,33672864,33674337,3.87463,6.13898,889,1473,ENSMUSG00000102198,,Gm38173,chr1,33671915,33674228,-1
151,440,chr1,33719729,33720683,11.84000,37.20672,499,954,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
153,442,chr1,33757232,33758341,8.81973,22.77715,478,1109,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
