peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670573,3672503,25.48447,198.40137,821,1930,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4495636,4497970,7.18888,32.89227,1762,2334,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4495636,4497970,7.18888,32.89227,1762,2334,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,26,chr1,4689145,4689420,4.29212,10.20334,118,275,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
5,32,chr1,4784173,4786587,62.31421,681.24829,1422,2414,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807268,4809296,65.99137,712.56903,719,2028,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807268,4809296,65.99137,712.56903,719,2028,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4856828,4859176,58.34603,607.56213,1490,2348,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588357,5588749,4.29212,10.20334,209,392,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5916629,5917686,5.78680,20.69104,369,1057,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6213214,6216090,66.49220,725.39728,1594,2876,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6358753,6359703,13.87934,102.64973,481,950,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,57,chr1,6382359,6383506,32.59330,279.11713,658,1147,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
15,58,chr1,6441080,6441753,16.78191,111.79390,308,673,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
16,67,chr1,7087887,7090696,33.35032,429.99814,704,2809,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
18,74,chr1,7396908,7398879,56.33410,580.36615,890,1971,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
19,95,chr1,9298730,9299690,5.23102,15.40328,219,960,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
20,101,chr1,9544588,9548775,54.18594,606.11499,983,4187,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
20,102,chr1,9544588,9548775,54.18594,606.11499,983,4187,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
22,107,chr1,9699208,9701440,55.39520,567.74518,1028,2232,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
24,108,chr1,9744855,9745161,6.57231,23.74922,133,306,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
25,108,chr1,9745335,9748933,44.11418,627.85455,2747,3598,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
25,109,chr1,9745335,9748933,44.11418,627.85455,2747,3598,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
27,110,chr1,9797356,9799524,53.16618,595.56946,979,2168,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
29,113,chr1,9908438,9908936,7.51121,30.12814,266,498,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
30,114,chr1,9942116,9944719,60.27912,701.59296,1794,2603,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
30,115,chr1,9942116,9944719,60.27912,701.59296,1794,2603,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
31,116,chr1,9966903,9968646,22.42383,183.05583,1252,1743,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
31,117,chr1,9966903,9968646,22.42383,183.05583,1252,1743,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
32,119,chr1,10008653,10009572,11.80917,71.61615,397,919,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
32,120,chr1,10008653,10009572,11.80917,71.61615,397,919,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
33,121,chr1,10036730,10040940,52.37966,706.45062,3260,4210,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
33,122,chr1,10036730,10040940,52.37966,706.45062,3260,4210,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
34,126,chr1,10231101,10234074,64.11357,686.55493,1212,2973,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
35,136,chr1,10992989,10995680,52.17611,524.84473,709,2691,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
37,140,chr1,11413542,11414801,21.27177,159.32559,566,1259,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
37,141,chr1,11413542,11414801,21.27177,159.32559,566,1259,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
38,151,chr1,12691845,12693805,17.03436,111.06952,1207,1960,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
42,152,chr1,12990392,12993007,34.47110,301.32404,1914,2615,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
46,156,chr1,13126169,13126677,3.35322,5.66256,162,508,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
48,165,chr1,13371295,13375288,68.53982,748.06427,2218,3993,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
48,166,chr1,13371295,13375288,68.53982,748.06427,2218,3993,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
50,168,chr1,13587981,13590409,49.83945,623.54382,1629,2428,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
52,170,chr1,13659206,13661224,39.74539,461.01419,1125,2018,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
55,179,chr1,14308393,14310846,36.55593,335.96097,1599,2453,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
58,181,chr1,14754915,14756410,33.51916,301.11542,757,1495,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
59,185,chr1,14918390,14919177,6.84057,25.53022,486,787,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
60,188,chr1,15286172,15288156,40.48083,388.88715,854,1984,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
61,195,chr1,15805116,15806887,45.21585,615.25470,733,1771,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
63,198,chr1,15892127,15893213,30.71550,257.25955,658,1086,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
64,200,chr1,16092751,16093545,18.80709,142.00362,495,794,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
65,201,chr1,16102904,16107252,39.34245,510.53064,2623,4348,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
65,202,chr1,16102904,16107252,39.34245,510.53064,2623,4348,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
67,206,chr1,16518279,16520457,51.10307,510.67709,681,2178,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
68,207,chr1,16617387,16619899,70.01524,768.70325,1515,2512,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
68,208,chr1,16617387,16619899,70.01524,768.70325,1515,2512,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
69,209,chr1,16655187,16657950,59.82145,627.62952,1617,2763,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
69,210,chr1,16655187,16657950,59.82145,627.62952,1617,2763,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
70,211,chr1,16664868,16666620,47.60011,644.32172,598,1752,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
70,212,chr1,16664868,16666620,47.60011,644.32172,598,1752,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
71,213,chr1,16687721,16689195,27.12951,306.29260,882,1474,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
72,218,chr1,17096341,17098267,45.73792,440.92880,1286,1926,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
73,220,chr1,17145342,17145626,6.30405,22.00340,162,284,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
74,227,chr1,17601866,17602413,4.51219,11.79684,292,547,ENSMUSG00000067780,94227.0,Pi15,chr1,17601901,17630939,1
76,229,chr1,17727000,17728148,10.64771,66.32877,632,1148,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
76,230,chr1,17727000,17728148,10.64771,66.32877,632,1148,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
77,236,chr1,18057826,18059098,19.71693,137.58199,711,1272,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
77,237,chr1,18057826,18059098,19.71693,137.58199,711,1272,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
