peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670234,3672690,33.62056,167.28925,1631,2456,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496880,4497728,11.55865,39.37843,532,848,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496880,4497728,11.55865,39.37843,532,848,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,26,chr1,4689107,4689364,5.32124,9.40788,70,257,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
7,32,chr1,4783943,4785519,11.96125,52.94838,1153,1576,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,32,chr1,4785896,4786371,20.07558,81.86995,274,475,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,33,chr1,4807296,4809365,17.01084,70.59302,1220,2069,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
9,34,chr1,4807296,4809365,17.01084,70.59302,1220,2069,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
10,35,chr1,4856799,4857647,7.35520,21.22461,668,848,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,35,chr1,4858081,4859146,14.10228,75.59972,589,1065,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,47,chr1,5588154,5589266,15.96372,58.72299,523,1112,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
15,51,chr1,5916348,5917997,18.31937,78.63314,698,1649,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
18,54,chr1,6214695,6215881,14.71039,64.79149,828,1186,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358757,6359711,24.21687,115.96565,432,954,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382557,6383541,29.26682,138.56694,588,984,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
22,58,chr1,6441021,6441836,26.36432,120.03092,381,815,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,67,chr1,7087926,7088719,10.53960,48.03602,562,793,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
24,67,chr1,7088921,7090747,12.45964,56.41403,975,1826,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
