peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,30,chr1,4768600,4769297,3.05521,6.64884,121,697,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
4,30,chr1,4770115,4770453,2.77125,5.62192,110,338,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
6,32,chr1,4786480,4787389,3.15348,10.91448,280,909,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,35,chr1,4856400,4856641,2.76788,5.75993,147,241,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
22,54,chr1,6216141,6217040,3.33061,13.75671,99,899,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
24,67,chr1,7087777,7088089,3.50450,9.33721,158,312,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,67,chr1,7088176,7088536,2.63846,4.68697,286,360,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
32,74,chr1,7398203,7398774,3.32478,8.22583,368,571,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
33,101,chr1,9544741,9545159,4.13351,13.55697,151,418,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
34,102,chr1,9547096,9547333,2.96535,6.14741,155,237,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
35,102,chr1,9547675,9548930,6.04292,30.43452,484,1255,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
40,105,chr1,9631025,9631527,2.87549,5.66052,160,502,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
41,107,chr1,9699439,9700212,5.75097,26.35525,410,773,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
42,107,chr1,9700722,9701448,2.53761,6.64884,498,726,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
47,108,chr1,9745471,9747671,4.60384,21.94979,1582,2200,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
48,109,chr1,9748704,9748965,3.37900,9.72613,96,261,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
61,110,chr1,9796135,9796788,5.35577,23.15167,249,653,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
62,110,chr1,9796888,9797649,5.30093,23.27523,148,761,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
65,111,chr1,9802430,9807157,5.76717,28.37468,3442,4727,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
95,114,chr1,9942171,9943272,3.10771,11.05193,736,1101,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
96,114,chr1,9943670,9944826,3.04781,8.48090,888,1156,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
96,115,chr1,9943670,9944826,3.04781,8.48090,888,1156,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
99,116,chr1,9966847,9968493,3.86394,11.68771,858,1646,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
99,117,chr1,9966847,9968493,3.86394,11.68771,858,1646,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
100,117,chr1,9968915,9969172,3.23492,7.68899,121,257,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
104,119,chr1,10008604,10009550,2.86974,7.67218,288,946,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
104,120,chr1,10008604,10009550,2.86974,7.67218,288,946,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
