peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3669574,3672763,16.21030,109.70349,1629,3189,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,32,chr1,4784824,4786352,9.11501,61.05627,747,1528,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807315,4809206,16.33405,110.94666,306,1891,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807315,4809206,16.33405,110.94666,306,1891,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4857052,4857655,6.18714,22.48183,424,603,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
6,35,chr1,4857725,4859121,9.20350,62.04735,607,1396,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588271,5589172,5.69041,16.05360,425,901,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5916556,5917299,2.86532,4.07332,280,743,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,51,chr1,5917357,5918081,2.96983,4.19498,375,724,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,54,chr1,6213474,6216040,23.84536,162.79720,1612,2566,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358917,6359595,4.28114,8.72114,371,678,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382754,6383494,12.15691,61.19825,275,740,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441096,6441770,9.68064,45.48590,312,674,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
21,67,chr1,7088114,7090038,16.59849,111.92590,470,1924,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,74,chr1,7397125,7397459,4.43404,9.42727,166,334,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,74,chr1,7397633,7397915,7.78758,46.71430,140,282,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
25,74,chr1,7398155,7398791,10.20053,57.51687,319,636,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
27,95,chr1,9298119,9300993,10.59613,65.23853,1320,2874,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
28,101,chr1,9544871,9545207,4.45474,11.62995,169,336,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
