peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
5,136,chr1,11048189,11048422,3.11991,0.52218,102,233,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
6,152,chr1,12892480,12892718,3.11991,0.52218,150,238,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
12,198,chr1,15861889,15862078,3.43565,0.99566,75,189,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
13,206,chr1,16348324,16348539,3.43565,0.99566,110,215,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
16,314,chr1,23762465,23762753,3.11991,0.52218,84,288,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
17,332,chr1,24717001,24717192,3.59353,0.99566,86,191,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
23,447,chr1,34148023,34148297,3.27778,0.52218,159,274,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
24,460,chr1,34427396,34427793,2.80416,0.12531,239,397,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
25,460,chr1,34430794,34431357,2.59017,0.08627,237,563,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
26,459,chr1,34431495,34432669,5.48801,5.85973,358,1174,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
26,460,chr1,34431495,34432669,5.48801,5.85973,358,1174,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
27,486,chr1,34929928,34930755,4.54077,3.55254,651,827,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
36,537,chr1,37160336,37160576,3.43565,0.99566,79,240,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
37,539,chr1,37228721,37228969,3.11991,0.52218,121,248,ENSMUSG00000026114,12790.0,Cnga3,chr1,37214434,37263384,1
38,541,chr1,37310717,37310918,4.22502,2.85175,74,201,ENSMUSG00000026113,269180.0,Inpp4a,chr1,37299865,37410736,1
39,544,chr1,37424435,37424645,4.06715,2.19307,47,210,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
43,584,chr1,39258761,39259089,3.27778,0.52218,143,328,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
44,592,chr1,39540274,39540460,3.59353,0.99566,142,186,ENSMUSG00000003135,52846.0,Cnot11,chr1,39534992,39546889,1
45,603,chr1,39914973,39915311,2.53135,0.27702,286,338,ENSMUSG00000026074,26921.0,Map4k4,chr1,39900913,40026310,1
51,763,chr1,51569983,51570303,2.15300,0.00000,145,320,ENSMUSG00000099413,,Gm17767,chr1,51507086,51596718,-1
53,799,chr1,53229302,53229535,3.59353,0.99566,117,233,ENSMUSG00000026098,227099.0,Pms1,chr1,53189187,53297018,-1
54,811,chr1,53613321,53613740,2.94574,0.18074,388,419,ENSMUSG00000096141,627872.0,Dnah7a,chr1,53397006,53706784,-1
55,835,chr1,55082712,55082934,3.43565,0.99566,125,222,ENSMUSG00000025980,15510.0,Hspd1,chr1,55077835,55088243,-1
56,841,chr1,55180315,55180585,3.43565,0.99566,130,270,ENSMUSG00000025978,74013.0,Rftn2,chr1,55170159,55226782,-1
57,841,chr1,55180769,55181134,3.27778,0.52218,253,365,ENSMUSG00000025978,74013.0,Rftn2,chr1,55170159,55226782,-1
58,844,chr1,55362546,55363146,4.38290,2.85175,260,600,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
62,878,chr1,58140692,58140958,3.43565,0.99566,181,266,ENSMUSG00000064294,71724.0,Aox3,chr1,58113130,58200698,1
63,889,chr1,58507442,58507928,3.60514,2.58114,217,486,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
63,890,chr1,58507442,58507928,3.60514,2.58114,217,486,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
64,890,chr1,58507979,58508432,4.17367,2.57173,269,453,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
65,890,chr1,58510006,58510198,2.96203,0.12531,53,192,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
67,903,chr1,58875609,58875800,2.80386,0.18074,31,191,ENSMUSG00000099719,,Gm28802,chr1,58850085,58892792,-1
68,945,chr1,60349596,60349881,3.43565,0.99566,130,285,ENSMUSG00000049439,77951.0,Cyp20a1,chr1,60343323,60388060,1
69,980,chr1,61944418,61944702,3.75140,1.59966,123,284,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
70,1013,chr1,63200133,63200318,3.75140,1.59966,86,185,ENSMUSG00000086730,,Platr12,chr1,63200313,63207967,1
70,1014,chr1,63200133,63200318,3.75140,1.59966,86,185,ENSMUSG00000046856,241070.0,Gpr1,chr1,63182691,63214543,-1
71,1049,chr1,64943966,64944151,3.11991,0.52218,54,185,ENSMUSG00000051344,241075.0,Plekhm3,chr1,64785983,64956824,-1
72,1063,chr1,65210502,65210704,3.22950,0.55457,129,202,ENSMUSG00000025949,18711.0,Pikfyve,chr1,65186683,65278695,1
74,1094,chr1,66856363,66856995,4.47761,3.48725,457,632,ENSMUSG00000089420,,Gm27934,chr1,66856641,66856703,1
74,1095,chr1,66856363,66856995,4.47761,3.48725,457,632,ENSMUSG00000026003,11363.0,Acadl,chr1,66830839,66863277,-1
75,1120,chr1,69376973,69377158,3.59353,0.99566,135,185,ENSMUSG00000101387,,Pced1c-ps,chr1,69377321,69378071,1
76,1120,chr1,69377443,69377727,2.94574,0.18074,258,284,ENSMUSG00000101387,,Pced1c-ps,chr1,69377321,69378071,1
80,1187,chr1,74069549,74069820,3.27778,0.52218,113,271,ENSMUSG00000055322,21961.0,Tns1,chr1,73910231,74124449,-1
81,1220,chr1,74785046,74785248,2.89992,0.32820,129,202,ENSMUSG00000033227,22420.0,Wnt6,chr1,74771892,74785322,1
