peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,32,chr1,4785407,4786257,5.17782,9.86882,216,850,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807494,4808361,6.13604,13.97854,509,867,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807494,4808361,6.13604,13.97854,509,867,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4856859,4857762,12.84359,49.37645,609,903,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
6,35,chr1,4857813,4858444,6.71098,16.61888,174,631,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,54,chr1,6214132,6215489,18.20963,84.81702,673,1357,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
10,57,chr1,6382851,6383213,3.26138,3.06105,189,362,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
11,67,chr1,7087973,7090022,16.86811,75.56123,601,2049,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
12,74,chr1,7397665,7397937,6.09284,14.71701,129,272,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
13,74,chr1,7398199,7398644,5.73361,14.21787,255,445,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,105,chr1,9630293,9630949,3.76881,5.50090,179,656,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
23,107,chr1,9700835,9701120,3.45303,3.63883,221,285,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
24,108,chr1,9747600,9748449,16.48483,72.96365,598,849,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
24,109,chr1,9747600,9748449,16.48483,72.96365,598,849,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
25,110,chr1,9797696,9798725,4.21960,6.19466,566,1029,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
27,114,chr1,9942879,9944163,11.64516,44.92733,1019,1284,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
27,115,chr1,9942879,9944163,11.64516,44.92733,1019,1284,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
28,114,chr1,9944360,9944699,4.60289,7.60917,185,339,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
28,115,chr1,9944360,9944699,4.60289,7.60917,185,339,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
31,121,chr1,10037496,10038655,16.29318,71.67228,533,1159,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
31,122,chr1,10037496,10038655,16.29318,71.67228,533,1159,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
32,122,chr1,10038886,10039194,3.90322,5.27665,159,308,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
33,122,chr1,10039690,10040366,5.77381,19.11891,280,676,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
34,126,chr1,10232068,10233660,11.88871,44.89360,796,1592,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
40,136,chr1,10993482,10994301,6.90262,17.52298,174,819,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
42,140,chr1,11412290,11412549,3.06974,2.51116,110,259,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
43,140,chr1,11413579,11414524,5.17782,9.86882,602,945,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
43,141,chr1,11413579,11414524,5.17782,9.86882,602,945,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
63,151,chr1,12691690,12693636,8.43577,25.19831,1355,1946,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
69,152,chr1,12991912,12992651,4.02796,5.51820,175,739,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
73,165,chr1,13372552,13374550,32.58294,194.11957,881,1998,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
73,166,chr1,13372552,13374550,32.58294,194.11957,881,1998,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
77,168,chr1,13589011,13590017,24.91717,132.72073,625,1006,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
78,170,chr1,13660096,13660817,4.79141,13.01053,186,721,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
82,179,chr1,14309443,14310205,5.40614,12.61229,285,762,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
83,188,chr1,15286305,15286801,4.41125,6.89237,366,496,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
84,188,chr1,15286886,15287491,4.07246,7.83814,176,605,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
88,195,chr1,15805053,15806486,9.33575,34.79005,773,1433,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
92,201,chr1,16103747,16106799,30.09156,173.67461,1168,3052,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
92,202,chr1,16103747,16106799,30.09156,173.67461,1168,3052,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
95,204,chr1,16227821,16228284,3.83632,4.86904,362,463,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
96,204,chr1,16228425,16228709,3.80817,5.33391,113,284,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
102,206,chr1,16519740,16520244,5.17782,9.86882,160,504,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
103,207,chr1,16618029,16619271,5.40614,12.61229,1086,1242,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
103,208,chr1,16618029,16619271,5.40614,12.61229,1086,1242,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
104,209,chr1,16656185,16657910,18.39690,97.98768,613,1725,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
104,210,chr1,16656185,16657910,18.39690,97.98768,613,1725,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
105,211,chr1,16664994,16666054,9.17201,33.76103,451,1060,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
105,212,chr1,16664994,16666054,9.17201,33.76103,451,1060,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
107,213,chr1,16687812,16689184,7.76273,40.38574,783,1372,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
108,260,chr1,20617706,20618088,3.45303,3.63883,232,382,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
111,270,chr1,20890197,20891001,8.73166,27.56136,549,804,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
111,271,chr1,20890197,20891001,8.73166,27.56136,549,804,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
112,274,chr1,20951097,20951394,4.23662,7.68202,174,297,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
114,275,chr1,21078679,21079239,4.21960,6.19466,299,560,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
114,276,chr1,21078679,21079239,4.21960,6.19466,299,560,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
115,275,chr1,21079383,21079967,16.10154,70.38516,231,584,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
115,276,chr1,21079383,21079967,16.10154,70.38516,231,584,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
117,278,chr1,21218615,21218877,2.85950,4.87889,81,262,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
118,280,chr1,21240516,21240849,3.64467,4.23949,217,333,ENSMUSG00000025934,14859.0,Gsta3,chr1,21240589,21265661,1
119,296,chr1,21961135,21962063,2.82660,3.24541,471,928,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
125,305,chr1,23256218,23257353,12.46030,47.02304,508,1135,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
