peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670349,3672699,33.76837,279.00293,1626,2350,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496034,4497951,10.77406,68.62914,1423,1917,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496034,4497951,10.77406,68.62914,1423,1917,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689038,4689454,6.05504,22.46200,269,416,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
7,32,chr1,4784225,4785712,15.05507,88.15151,836,1487,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,32,chr1,4785770,4786408,12.80384,68.87423,390,638,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,33,chr1,4807298,4809286,11.72471,78.48685,207,1988,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
9,34,chr1,4807298,4809286,11.72471,78.48685,207,1988,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
10,35,chr1,4856810,4857726,9.98981,46.51396,609,916,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,35,chr1,4858009,4859075,17.72839,112.37337,624,1066,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,47,chr1,5588104,5589322,18.85401,122.95235,616,1218,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
15,51,chr1,5916015,5918094,23.21576,165.78302,1135,2079,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,54,chr1,6213177,6216040,17.02489,105.87215,2198,2863,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
18,55,chr1,6358751,6359894,30.80667,254.57625,593,1143,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
19,57,chr1,6382501,6383494,34.61258,288.53516,475,993,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6440975,6441880,27.29610,208.13483,490,905,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
22,67,chr1,7087856,7088801,14.35156,82.00919,632,945,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,67,chr1,7089055,7090765,10.49379,61.82883,805,1710,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,74,chr1,7397048,7398056,7.31648,27.53516,179,1008,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
26,74,chr1,7398118,7398860,19.41681,128.31953,456,742,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,95,chr1,9298354,9300328,22.34161,193.29327,1016,1974,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,101,chr1,9544601,9549095,13.50280,103.65984,413,4494,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
30,102,chr1,9544601,9549095,13.50280,103.65984,413,4494,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
32,107,chr1,9699281,9701489,32.33390,303.01526,718,2208,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
35,108,chr1,9744824,9745177,9.14560,40.25184,200,353,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,108,chr1,9745350,9748463,23.80199,183.00238,2116,3113,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,109,chr1,9745350,9748463,23.80199,183.00238,2116,3113,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
37,109,chr1,9748598,9749070,16.18068,98.18674,178,472,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
39,110,chr1,9797514,9799558,25.46698,188.90157,386,2044,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
42,113,chr1,9908302,9909056,17.58769,111.06622,385,754,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
43,114,chr1,9942188,9944746,18.90741,161.74034,773,2558,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
43,115,chr1,9942188,9944746,18.90741,161.74034,773,2558,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
44,116,chr1,9966920,9968607,17.82815,139.39285,979,1687,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
44,117,chr1,9966920,9968607,17.82815,139.39285,979,1687,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
45,119,chr1,10008650,10009543,13.09787,93.27766,427,893,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
45,120,chr1,10008650,10009543,13.09787,93.27766,427,893,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
46,121,chr1,10036745,10038178,17.70646,126.42206,695,1433,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
46,122,chr1,10036745,10038178,17.70646,126.42206,695,1433,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
47,121,chr1,10038327,10041283,23.73574,197.02150,758,2956,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
47,122,chr1,10038327,10041283,23.73574,197.02150,758,2956,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
48,126,chr1,10231129,10234075,21.10523,144.71356,1152,2946,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
51,136,chr1,10993001,10995417,32.93940,310.81155,649,2416,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
53,140,chr1,11413481,11414980,28.33757,252.60875,960,1499,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
53,141,chr1,11413481,11414980,28.33757,252.60875,960,1499,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
54,141,chr1,11415096,11415411,2.95473,3.89548,131,315,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
56,151,chr1,12691689,12693687,11.62215,72.74414,1403,1998,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
60,152,chr1,12990130,12993103,41.08485,363.52054,2192,2973,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
65,156,chr1,13128189,13128906,2.74410,3.36028,304,717,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
69,165,chr1,13372568,13375097,27.75776,262.49817,2113,2529,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
69,166,chr1,13372568,13375097,27.75776,262.49817,2113,2529,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
74,168,chr1,13587362,13589874,11.21601,56.18092,1098,2512,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
75,168,chr1,13589943,13590498,21.10474,151.92775,205,555,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
76,170,chr1,13658504,13661013,24.51664,201.96140,1808,2509,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
81,179,chr1,14309211,14310693,20.38621,180.43196,674,1482,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
84,181,chr1,14754846,14756582,41.22555,365.18399,836,1736,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
85,185,chr1,14918376,14919316,17.02489,105.87215,484,940,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
86,188,chr1,15285999,15288321,27.43680,209.62996,543,2322,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
88,195,chr1,15805115,15805550,12.24103,64.23613,226,435,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
89,195,chr1,15805763,15806869,18.64662,121.39320,574,1106,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
91,198,chr1,15891957,15893241,40.38134,355.21881,684,1284,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
92,200,chr1,16092609,16093578,31.97059,298.36026,451,969,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
93,201,chr1,16102747,16104210,9.98981,46.51396,589,1463,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
93,202,chr1,16102747,16104210,9.98981,46.51396,589,1463,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
94,201,chr1,16104383,16108214,22.28254,180.09355,1691,3831,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
94,202,chr1,16104383,16108214,22.28254,180.09355,1691,3831,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
96,204,chr1,16227870,16229108,3.36237,9.53633,383,1238,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
98,206,chr1,16518277,16520422,30.18507,256.53314,1697,2145,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
99,207,chr1,16617127,16619947,14.04768,91.30717,1459,2820,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
99,208,chr1,16617127,16619947,14.04768,91.30717,1459,2820,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
101,209,chr1,16655227,16657025,15.33647,90.63722,1059,1798,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
101,210,chr1,16655227,16657025,15.33647,90.63722,1059,1798,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
102,209,chr1,16657082,16657800,10.97472,54.09472,476,718,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
102,210,chr1,16657082,16657800,10.97472,54.09472,476,718,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
103,211,chr1,16664890,16666896,17.19630,123.64831,1005,2006,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
103,212,chr1,16664890,16666896,17.19630,123.64831,1005,2006,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
104,213,chr1,16687750,16689669,10.35154,64.35346,286,1919,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
105,218,chr1,17096429,17098295,31.77129,357.48633,1090,1866,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
106,220,chr1,17145279,17145911,17.02489,105.87215,190,632,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
