peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670378,3672581,41.50414,272.48273,854,2203,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496141,4497811,9.58395,36.71067,1288,1670,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496141,4497811,9.58395,36.71067,1288,1670,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4784275,4786375,65.00136,490.90009,1307,2100,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807303,4809261,60.26402,444.15054,688,1958,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807303,4809261,60.26402,444.15054,688,1958,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856819,4857058,3.60540,4.43388,77,239,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857239,4859119,58.36908,427.49832,1061,1880,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588203,5589202,8.91122,27.91642,390,999,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5916476,5917874,13.96785,66.42820,681,1398,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,54,chr1,6213744,6215821,65.19086,492.78235,1052,2077,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358779,6359650,12.18074,70.70608,584,871,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382605,6383451,25.00880,157.51982,410,846,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441117,6441702,21.22831,108.25719,295,585,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
17,67,chr1,7087894,7090079,45.67300,308.75104,1353,2185,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
21,74,chr1,7397403,7398002,55.71617,401.78214,388,599,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
22,74,chr1,7398085,7398786,42.45161,281.04242,220,701,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
23,95,chr1,9298461,9300276,14.78553,63.85970,601,1815,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
24,101,chr1,9544759,9549014,44.15705,296.56885,810,4255,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
24,102,chr1,9544759,9549014,44.15705,296.56885,810,4255,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
25,107,chr1,9699363,9701392,54.01073,385.38895,866,2029,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
27,108,chr1,9745404,9748503,54.36683,439.31763,2686,3099,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
27,109,chr1,9745404,9748503,54.36683,439.31763,2686,3099,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
28,109,chr1,9748576,9748910,9.50169,47.81590,166,334,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
30,110,chr1,9797393,9799477,51.30718,375.36395,971,2084,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
32,113,chr1,9908378,9908953,11.94312,45.60688,323,575,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
33,114,chr1,9942209,9944699,59.75531,507.86533,1708,2490,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
33,115,chr1,9942209,9944699,59.75531,507.86533,1708,2490,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
34,116,chr1,9966908,9968605,36.38781,228.80638,1277,1697,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
34,117,chr1,9966908,9968605,36.38781,228.80638,1277,1697,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
35,119,chr1,10008775,10009417,11.94312,45.60688,238,642,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
35,120,chr1,10008775,10009417,11.94312,45.60688,238,642,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
36,121,chr1,10036845,10040841,67.84377,517.33545,3104,3996,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
36,122,chr1,10036845,10040841,67.84377,517.33545,3104,3996,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
37,126,chr1,10231380,10234034,61.59048,457.17258,949,2654,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
38,136,chr1,10993165,10995144,45.86250,310.49878,611,1979,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
40,140,chr1,11413574,11414958,27.29211,153.97958,525,1384,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
40,141,chr1,11413574,11414958,27.29211,153.97958,525,1384,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
41,151,chr1,12691833,12692709,9.25921,34.61195,678,876,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
46,152,chr1,12990370,12992946,35.81933,223.86278,1899,2576,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
50,156,chr1,13128298,13128635,4.17388,6.46861,145,337,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
53,165,chr1,13371833,13374973,62.34845,464.64050,1636,3140,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
53,166,chr1,13371833,13374973,62.34845,464.64050,1636,3140,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
58,168,chr1,13587927,13590454,50.50040,408.80225,1368,2527,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
60,170,chr1,13659385,13660939,34.65742,284.75253,925,1554,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
61,171,chr1,13668976,13669199,5.31084,11.06639,104,223,ENSMUSG00000067813,381246.0,Xkr9,chr1,13668771,13701723,1
62,179,chr1,14309389,14310461,21.67920,167.81297,568,1072,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
