peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,11,chr1,3668946,3672790,17.70953,72.21339,788,3844,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
6,20,chr1,4497274,4497566,3.60392,3.60576,172,292,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,32,chr1,4784801,4786660,17.12327,89.89066,338,1859,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,33,chr1,4807260,4809131,11.86088,51.98259,1214,1871,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
9,34,chr1,4807260,4809131,11.86088,51.98259,1214,1871,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
10,35,chr1,4856877,4857692,11.15340,35.80960,471,815,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,35,chr1,4858046,4859194,25.25902,119.07031,642,1148,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
15,47,chr1,5588052,5589363,22.82829,116.10356,585,1311,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
16,51,chr1,5916362,5918044,31.02047,157.28226,755,1682,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
18,54,chr1,6214879,6216842,18.00034,97.71074,584,1963,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
20,55,chr1,6358731,6359686,23.66965,108.75371,570,955,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
21,57,chr1,6382557,6383630,16.71618,65.55566,617,1073,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
22,58,chr1,6441018,6441848,17.51086,70.87205,367,830,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
32,67,chr1,7087824,7088788,20.71779,95.36957,454,964,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
33,67,chr1,7089016,7090973,20.34497,92.58540,843,1957,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
35,74,chr1,7397008,7397672,5.59062,10.39847,270,664,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
36,74,chr1,7398152,7398846,11.15340,35.80960,312,694,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
39,95,chr1,9298004,9301023,19.84627,95.05476,1959,3019,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
40,101,chr1,9544771,9548513,17.70953,72.21339,282,3742,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
40,102,chr1,9544771,9548513,17.70953,72.21339,282,3742,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
41,104,chr1,9600807,9603353,8.53763,34.51363,789,2546,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
43,107,chr1,9699286,9701426,31.02047,157.28226,780,2140,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
45,108,chr1,9743406,9745193,15.72283,60.33553,1598,1787,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
46,108,chr1,9745321,9748455,21.43878,130.25423,1942,3134,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
46,109,chr1,9745321,9748455,21.43878,130.25423,1942,3134,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
47,109,chr1,9748644,9748988,8.17334,21.65909,168,344,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
48,110,chr1,9797444,9799213,26.45104,126.54349,434,1769,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
50,113,chr1,9908340,9909206,9.36537,26.89963,400,866,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
51,114,chr1,9942055,9944720,30.42445,154.16658,1084,2665,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
51,115,chr1,9942055,9944720,30.42445,154.16658,1084,2665,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
52,116,chr1,9967000,9968521,9.67231,31.64313,1213,1521,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
52,117,chr1,9967000,9968521,9.67231,31.64313,1213,1521,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
53,119,chr1,10008656,10009625,20.88826,91.51736,325,969,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
53,120,chr1,10008656,10009625,20.88826,91.51736,325,969,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
54,121,chr1,10036815,10038100,18.61551,87.32530,626,1285,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
54,122,chr1,10036815,10038100,18.61551,87.32530,626,1285,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
55,121,chr1,10038354,10040999,24.11360,115.33854,648,2645,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
55,122,chr1,10038354,10040999,24.11360,115.33854,648,2645,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
57,126,chr1,10230963,10234017,13.54943,72.75875,885,3054,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
58,136,chr1,10992995,10995022,36.18590,194.07088,659,2027,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
60,140,chr1,11413493,11415309,21.24958,104.76850,620,1816,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
60,141,chr1,11413493,11415309,21.24958,104.76850,620,1816,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
61,141,chr1,11415348,11415706,4.85271,8.05419,192,358,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
63,151,chr1,12691715,12692731,5.81322,13.11207,718,1016,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
64,151,chr1,12692768,12693597,5.62551,23.08419,322,829,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
70,152,chr1,12987747,12993302,22.87497,102.93827,4197,5555,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
73,165,chr1,13371279,13375066,23.35453,118.98277,3343,3787,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
73,166,chr1,13371279,13375066,23.35453,118.98277,3343,3787,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
76,168,chr1,13587959,13589766,14.72947,55.20707,1159,1807,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
77,168,chr1,13589977,13590453,14.33213,52.68715,248,476,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
78,170,chr1,13659772,13661047,26.33706,139.30014,559,1275,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
83,179,chr1,14309003,14310795,7.34663,40.79798,1229,1792,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
85,181,chr1,14754831,14756729,28.61693,158.95642,963,1898,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
86,185,chr1,14918385,14919193,8.49879,29.43081,422,808,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
87,188,chr1,15285958,15289662,13.54943,72.75875,584,3704,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
89,195,chr1,15805035,15805582,11.71470,50.84332,324,547,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
90,195,chr1,15805657,15806916,23.16935,107.57483,716,1259,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
91,198,chr1,15892108,15893278,26.64971,128.05019,642,1170,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
92,200,chr1,16092697,16093656,25.45769,120.56134,383,959,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
93,201,chr1,16102923,16107670,19.18771,123.11230,3142,4747,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
93,202,chr1,16102923,16107670,19.18771,123.11230,3142,4747,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
95,206,chr1,16519686,16520584,20.29225,87.30077,384,898,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
96,207,chr1,16616251,16616853,4.00126,4.95781,249,602,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
97,207,chr1,16617144,16620122,23.07364,104.38689,842,2978,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
97,208,chr1,16617144,16620122,23.07364,104.38689,842,2978,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
98,209,chr1,16655518,16656727,21.22463,94.69210,794,1209,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
98,210,chr1,16655518,16656727,21.22463,94.69210,794,1209,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
99,209,chr1,16657234,16657894,15.87110,64.40697,314,660,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
99,210,chr1,16657234,16657894,15.87110,64.40697,314,660,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
100,211,chr1,16664871,16666442,25.65636,122.05441,973,1571,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
100,212,chr1,16664871,16666442,25.65636,122.05441,973,1571,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
101,213,chr1,16687910,16689179,19.49544,92.31927,656,1269,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
