peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,34,chr1,4883442,4883750,3.37465,1.42167,127,308,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
3,35,chr1,4883442,4883750,3.37465,1.42167,127,308,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
26,125,chr1,10197062,10197272,3.68429,2.86218,106,210,ENSMUSG00000102556,,Gm37569,chr1,10197081,10198802,-1
26,126,chr1,10197062,10197272,3.68429,2.86218,106,210,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
28,140,chr1,11754276,11754504,2.77892,0.53832,44,228,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
30,152,chr1,12906721,12906925,2.56033,0.18768,58,204,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
32,166,chr1,13377196,13377381,2.78512,0.55288,74,185,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
40,198,chr1,15861965,15862290,3.89820,1.91183,164,325,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
43,206,chr1,16348210,16348480,3.89820,1.91183,181,270,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
44,208,chr1,16579335,16579520,3.20041,0.92228,102,185,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
49,264,chr1,20728116,20728486,2.44793,0.18768,208,370,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
51,275,chr1,21067213,21067463,3.20041,0.92228,146,250,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
52,300,chr1,22619550,22619900,2.79699,0.05882,168,350,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
59,321,chr1,24208432,24208713,3.48140,1.37008,139,281,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
60,332,chr1,24716930,24717159,4.68478,3.81030,168,229,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
67,363,chr1,26466540,26466758,3.74089,1.91183,103,218,ENSMUSG00000099458,,Gm19123,chr1,26466236,26466886,1
80,396,chr1,31039819,31040107,4.05552,2.53339,160,288,ENSMUSG00000100237,,Gm28644,chr1,31041919,31043675,1
84,411,chr1,32371800,32371990,2.77892,0.53832,6,190,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
89,437,chr1,33640210,33640459,3.42625,1.37008,96,249,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
90,447,chr1,34038614,34038896,3.21965,0.92156,134,282,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
91,447,chr1,34290768,34291053,3.20041,0.92228,181,285,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
93,460,chr1,34426595,34427282,2.32094,0.05550,143,687,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
94,460,chr1,34427410,34427813,3.58357,1.37008,288,403,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
95,460,chr1,34429032,34429641,3.08629,1.08652,548,609,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
96,459,chr1,34430548,34432716,5.48264,8.87541,1041,2168,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
96,460,chr1,34430548,34432716,5.48264,8.87541,1041,2168,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
99,483,chr1,34822420,34822662,3.54003,1.69080,104,242,ENSMUSG00000104358,,Gm37127,chr1,34823525,34826560,1
99,484,chr1,34822420,34822662,3.54003,1.69080,104,242,ENSMUSG00000037503,214469.0,Fam168b,chr1,34813219,34843065,-1
