peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,5,chr1,3466437,3467056,3.20327,6.63962,511,619,ENSMUSG00000089699,,Gm1992,chr1,3466587,3513553,1
4,6,chr1,3466437,3467056,3.20327,6.63962,511,619,ENSMUSG00000103025,,Gm37686,chr1,3464977,3467285,-1
8,11,chr1,3672144,3672665,3.27072,6.45319,241,521,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
14,19,chr1,4496307,4497649,4.68804,14.33756,1121,1342,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
14,20,chr1,4496307,4497649,4.68804,14.33756,1121,1342,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
17,32,chr1,4786707,4786942,2.94365,4.93042,107,235,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
24,40,chr1,4968850,4969184,2.72560,3.99247,209,334,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
25,40,chr1,4969421,4971535,3.73316,10.19205,1380,2114,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
35,47,chr1,5588145,5589019,4.46999,13.00454,615,874,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
36,51,chr1,5916408,5917265,2.54551,3.89897,770,857,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
37,51,chr1,5917381,5918043,3.81584,9.25868,487,662,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
40,54,chr1,6215438,6216793,5.23316,17.83196,1041,1355,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
42,55,chr1,6358759,6359092,3.81584,9.25868,192,333,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
43,55,chr1,6359170,6359626,3.48877,7.53852,352,456,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
61,67,chr1,7087816,7088369,4.25194,11.71642,141,553,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
66,68,chr1,7138171,7138789,2.72560,3.99247,97,618,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
67,68,chr1,7138987,7139229,3.60008,8.78302,102,242,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
71,73,chr1,7313415,7313899,2.72560,3.99247,370,484,ENSMUSG00000102768,,Gm19002,chr1,7315451,7316462,1
84,95,chr1,9300115,9300627,2.83463,4.45278,123,512,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
85,101,chr1,9544837,9545047,4.14292,11.08463,111,210,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
86,102,chr1,9547033,9549040,6.21437,24.64023,1033,2007,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
91,104,chr1,9601429,9602333,3.99361,10.35374,415,904,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
94,105,chr1,9630742,9631352,2.69480,4.93188,54,610,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
98,107,chr1,9699321,9699972,3.05267,5.42296,546,651,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
99,107,chr1,9701006,9701403,3.05267,5.42296,189,397,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
104,108,chr1,9745399,9747586,7.09106,36.99997,1585,2187,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
106,110,chr1,9797322,9797646,2.61658,3.54741,93,324,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
110,114,chr1,9942127,9943230,2.64292,5.46595,292,1103,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
111,114,chr1,9944419,9944704,3.48877,7.53852,93,285,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
111,115,chr1,9944419,9944704,3.48877,7.53852,93,285,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
113,116,chr1,9967116,9968360,3.59780,8.10107,92,1244,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
113,117,chr1,9967116,9968360,3.59780,8.10107,92,1244,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
114,119,chr1,10008594,10009382,4.60010,14.96644,301,788,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
116,121,chr1,10035717,10036165,3.37975,6.98942,326,448,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
117,121,chr1,10036225,10036531,3.50007,8.22556,176,306,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
118,121,chr1,10036740,10037500,6.20013,26.60120,239,760,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
119,122,chr1,10038886,10039642,5.99633,23.07262,208,756,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
120,122,chr1,10040072,10041362,5.12413,17.11452,797,1290,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
126,126,chr1,10233549,10233996,2.58339,4.42931,265,447,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
136,141,chr1,11414716,11414942,4.14292,11.08463,98,226,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
148,150,chr1,12670887,12671363,3.27072,6.45319,255,476,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
150,151,chr1,12689335,12690767,4.06306,11.35660,249,1432,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
151,151,chr1,12690833,12691368,3.16170,5.93073,421,535,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
152,151,chr1,12691693,12692710,2.80006,6.88485,736,1017,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
185,152,chr1,12992891,12993503,3.92487,9.85358,203,612,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
192,156,chr1,13126306,13126961,3.20007,6.63156,121,655,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
193,156,chr1,13127910,13128779,2.72733,4.75808,175,869,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
205,160,chr1,13289940,13290606,4.03389,10.46352,526,666,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
206,160,chr1,13290780,13291187,2.83339,5.73963,179,407,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
207,160,chr1,13291390,13291791,2.76308,4.26264,271,401,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
208,160,chr1,13292149,13292422,2.88666,4.93042,138,273,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
209,161,chr1,13299535,13299830,2.76249,4.87867,170,295,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
218,162,chr1,13333676,13334189,3.59780,8.10107,94,513,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
220,164,chr1,13358418,13359281,4.25194,11.71642,475,863,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
227,165,chr1,13374497,13374856,3.50007,8.22556,101,359,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
227,166,chr1,13374497,13374856,3.50007,8.22556,101,359,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
239,170,chr1,13659985,13660343,3.27072,6.45319,119,358,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
251,177,chr1,14180640,14182360,5.88730,22.30099,1337,1720,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
279,181,chr1,14755670,14756477,3.48877,7.53852,387,807,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
281,185,chr1,14918347,14918961,4.03389,10.46352,186,614,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
282,188,chr1,15285977,15286162,2.83463,4.45278,105,185,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
283,188,chr1,15286249,15286410,2.45460,3.49141,65,161,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
284,188,chr1,15287381,15287749,3.48877,7.53852,195,368,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
293,198,chr1,15892220,15892635,2.50755,3.11948,134,415,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
294,198,chr1,15892717,15893153,3.20007,6.63156,371,436,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
295,200,chr1,16092668,16093106,3.48877,7.53852,316,438,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
296,200,chr1,16093197,16093622,3.59780,8.10107,291,425,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
297,202,chr1,16102487,16103515,4.46999,13.00454,932,1028,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
298,201,chr1,16106248,16107242,4.00008,11.12613,484,994,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
298,202,chr1,16106248,16107242,4.00008,11.12613,484,994,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
308,205,chr1,16253443,16254208,3.40007,7.68037,191,765,ENSMUSG00000089982,,Gm7568,chr1,16253592,16267921,1
317,207,chr1,16616099,16616888,5.01511,16.40623,418,789,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
318,207,chr1,16617122,16618117,5.56023,20.02850,426,995,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
321,210,chr1,16654592,16655116,3.18189,7.14654,381,524,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
322,210,chr1,16655186,16656300,4.91677,20.27700,676,1114,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
323,211,chr1,16665805,16667544,4.00009,13.19969,321,1739,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
324,213,chr1,16687764,16688268,3.16674,7.65997,328,504,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
