peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,30,chr1,4768653,4768964,2.61262,1.08936,160,311,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
1,30,chr1,4769286,4769512,3.18538,2.06957,118,226,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
3,32,chr1,4786578,4786855,4.15779,3.61595,175,277,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,35,chr1,4856741,4857009,3.42601,2.39474,150,268,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,54,chr1,6215540,6215750,3.33926,2.39474,135,210,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
11,54,chr1,6215870,6216086,4.29354,4.35895,97,216,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
12,54,chr1,6216164,6216724,3.75109,4.18904,407,560,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,67,chr1,7087838,7088054,3.77313,3.71564,110,216,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
15,74,chr1,7398410,7398761,4.03328,3.66509,156,351,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
16,101,chr1,9544722,9545135,4.29354,4.35895,176,413,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
17,102,chr1,9547819,9548745,5.18670,6.50209,599,926,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
20,105,chr1,9631103,9631557,3.83065,3.65667,136,454,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
21,107,chr1,9699417,9700150,3.75109,4.18904,455,733,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
22,107,chr1,9701009,9701402,3.00651,2.53975,193,393,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
27,108,chr1,9745477,9747405,4.03747,5.39655,1521,1928,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
39,110,chr1,9796125,9796634,3.59540,3.21282,242,509,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
40,110,chr1,9796973,9797156,3.90805,3.65667,109,183,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
43,111,chr1,9803022,9803894,3.51697,3.57057,333,872,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
