peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670940,3672580,5.79266,16.72820,1163,1640,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,19,chr1,4496577,4496829,2.88735,3.48257,174,252,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,26,chr1,4689046,4689436,5.04899,10.31852,140,390,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
9,32,chr1,4784933,4786282,13.30591,74.04626,652,1349,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807355,4809082,12.38135,74.23804,282,1727,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807355,4809082,12.38135,74.23804,282,1727,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4857333,4857570,4.12337,8.29622,142,237,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,35,chr1,4857714,4858856,18.45063,135.58023,374,1142,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
15,47,chr1,5588490,5589116,5.04899,10.31852,105,626,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
16,51,chr1,5916431,5917327,4.48799,8.03822,645,896,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
18,54,chr1,6213810,6215721,19.64400,117.54904,1278,1911,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358751,6359547,2.89082,4.69112,483,796,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382899,6383403,5.08723,13.90107,116,504,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6441007,6441805,8.41134,28.73019,404,798,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
22,67,chr1,7087786,7088785,9.89340,50.96783,769,999,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,67,chr1,7088959,7090041,9.92824,49.30062,286,1082,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,74,chr1,7397182,7397383,3.77652,5.83509,78,201,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
27,74,chr1,7397667,7397976,8.69466,31.66896,146,309,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,74,chr1,7398120,7398757,8.93703,39.01560,376,637,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,101,chr1,9544821,9545204,7.45084,25.03525,143,383,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
31,101,chr1,9545434,9546871,11.48751,57.06293,282,1437,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
31,102,chr1,9545434,9546871,11.48751,57.06293,282,1437,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
32,102,chr1,9547983,9548299,5.20532,11.04012,157,316,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
33,107,chr1,9699415,9701358,9.72157,42.68378,734,1943,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
34,108,chr1,9745451,9745921,6.00810,15.71299,127,470,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,108,chr1,9746322,9748493,17.04911,107.39524,1800,2171,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,109,chr1,9746322,9748493,17.04911,107.39524,1800,2171,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
37,110,chr1,9797689,9798991,16.02579,95.16784,652,1302,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
39,113,chr1,9908526,9908998,3.43732,5.69385,199,472,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
40,114,chr1,9942336,9942539,2.80499,2.33107,106,203,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
41,114,chr1,9942740,9943560,14.07613,65.62753,369,820,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
42,114,chr1,9943611,9944276,25.88019,173.93628,368,665,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
