peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
5,206,chr1,16347883,16348880,3.73384,3.72297,182,997,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
12,459,chr1,34430636,34432642,3.01158,2.42571,1323,2006,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
12,460,chr1,34430636,34432642,3.01158,2.42571,1323,2006,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
13,478,chr1,34776946,34777478,2.64413,1.11639,344,532,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
23,548,chr1,37506300,37506652,3.39440,2.66990,156,352,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
24,552,chr1,37685152,37685423,3.22468,2.19129,110,271,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
25,581,chr1,39049591,39050065,3.73384,3.72297,273,474,ENSMUSG00000104188,,Gm37821,chr1,39048648,39057637,-1
27,620,chr1,40779176,40779548,2.48783,0.98465,263,372,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
27,621,chr1,40779176,40779548,2.48783,0.98465,263,372,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
29,642,chr1,43022749,43023332,2.35689,0.66921,418,583,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
32,663,chr1,43896412,43896794,3.20283,2.19129,184,382,ENSMUSG00000101395,,Gm8241,chr1,43898294,43899109,1
34,735,chr1,48881362,48881784,2.03363,13.54639,193,422,ENSMUSG00000097883,,Gm8357,chr1,48881713,48882723,1
35,783,chr1,52544496,52544957,3.39440,2.66990,277,461,ENSMUSG00000100120,,Gm553,chr1,52522902,52582679,1
36,844,chr1,55362550,55363174,3.50742,3.26747,284,624,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
37,847,chr1,55730358,55730668,3.73384,3.72297,190,310,ENSMUSG00000038349,227120.0,Plcl1,chr1,55405921,55754285,1
39,889,chr1,58507256,58508123,4.40688,7.34152,486,867,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
39,890,chr1,58507256,58508123,4.40688,7.34152,486,867,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
40,890,chr1,58508441,58508935,3.90356,4.30676,289,494,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
41,890,chr1,58510643,58510943,3.68023,3.65306,152,300,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
42,904,chr1,58930130,58930748,3.22468,2.19129,290,618,ENSMUSG00000026028,70827.0,Trak2,chr1,58900449,58973430,-1
43,945,chr1,60349636,60350113,3.39440,2.66990,155,477,ENSMUSG00000049439,77951.0,Cyp20a1,chr1,60343323,60388060,1
44,947,chr1,60418166,60418454,3.56412,3.17385,163,288,ENSMUSG00000026782,329165.0,Abi2,chr1,60409619,60481158,1
45,980,chr1,61944273,61944504,3.52550,3.72297,196,231,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
48,1017,chr1,63305926,63306205,3.22468,2.19129,96,279,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
49,1094,chr1,66856419,66856890,3.60518,3.49102,181,471,ENSMUSG00000089420,,Gm27934,chr1,66856641,66856703,1
49,1095,chr1,66856419,66856890,3.60518,3.49102,181,471,ENSMUSG00000026003,11363.0,Acadl,chr1,66830839,66863277,-1
50,1167,chr1,72696307,72696689,3.66627,4.90893,195,382,ENSMUSG00000039342,319695.0,Ankar,chr1,72642980,72700579,-1
56,1446,chr1,85944770,85945042,3.02914,1.86321,98,272,ENSMUSG00000049608,227326.0,Gpr55,chr1,85938318,85961007,-1
61,1530,chr1,88177978,88178334,2.83459,2.19129,59,356,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
61,1532,chr1,88177978,88178334,2.83459,2.19129,59,356,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
61,1533,chr1,88177978,88178334,2.83459,2.19129,59,356,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
61,1534,chr1,88177978,88178334,2.83459,2.19129,59,356,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
61,1536,chr1,88177978,88178334,2.83459,2.19129,59,356,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
61,1539,chr1,88177978,88178334,2.83459,2.19129,59,356,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
61,1543,chr1,88177978,88178334,2.83459,2.19129,59,356,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
61,1544,chr1,88177978,88178334,2.83459,2.19129,59,356,ENSMUSG00000118621,,AC087801.3,chr1,88178301,88178390,1
62,1530,chr1,88204040,88204407,2.88524,1.34622,190,367,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
62,1532,chr1,88204040,88204407,2.88524,1.34622,190,367,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
62,1533,chr1,88204040,88204407,2.88524,1.34622,190,367,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
62,1534,chr1,88204040,88204407,2.88524,1.34622,190,367,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
62,1536,chr1,88204040,88204407,2.88524,1.34622,190,367,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
62,1539,chr1,88204040,88204407,2.88524,1.34622,190,367,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
62,1543,chr1,88204040,88204407,2.88524,1.34622,190,367,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
62,1547,chr1,88204040,88204407,2.88524,1.34622,190,367,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
62,1548,chr1,88204040,88204407,2.88524,1.34622,190,367,ENSMUSG00000081984,15504.0,Dnajb3,chr1,88204732,88205782,-1
63,1530,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
63,1532,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
63,1533,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
63,1534,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
63,1536,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
63,1539,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
63,1543,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
63,1547,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
63,1549,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000089960,394436.0,Ugt1a1,chr1,88211959,88218997,1
63,1550,chr1,88211443,88215274,1.94057,3.27457,3406,3831,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
64,1530,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
64,1532,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
64,1533,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
64,1534,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
64,1536,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
64,1539,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
64,1543,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
64,1547,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
64,1549,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000089960,394436.0,Ugt1a1,chr1,88211959,88218997,1
64,1550,chr1,88215415,88216363,2.55176,8.99432,718,948,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
65,1530,chr1,88216593,88216843,2.42595,6.43428,78,250,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
65,1532,chr1,88216593,88216843,2.42595,6.43428,78,250,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
65,1533,chr1,88216593,88216843,2.42595,6.43428,78,250,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
65,1534,chr1,88216593,88216843,2.42595,6.43428,78,250,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
65,1536,chr1,88216593,88216843,2.42595,6.43428,78,250,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
65,1539,chr1,88216593,88216843,2.42595,6.43428,78,250,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
