peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671112,3672526,6.67929,17.95852,883,1414,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496613,4497760,4.51453,8.05024,758,1147,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496613,4497760,4.51453,8.05024,758,1147,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4784798,4786413,22.76037,124.56519,760,1615,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807319,4809150,15.24785,111.32977,311,1831,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807319,4809150,15.24785,111.32977,311,1831,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856921,4857628,8.61996,35.32217,455,707,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857719,4859159,14.75099,95.00297,562,1440,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,51,chr1,5916524,5917171,3.58678,4.63889,286,647,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6212556,6216208,21.38254,160.29758,2540,3652,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6358999,6359574,4.43798,8.62109,460,575,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,57,chr1,6382688,6383340,7.45242,21.68644,375,652,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
15,58,chr1,6441162,6441704,6.71354,19.76120,224,542,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
16,67,chr1,7087711,7088769,12.30225,88.67648,841,1058,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
17,67,chr1,7088964,7090643,15.22051,83.54032,318,1679,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
19,74,chr1,7397634,7397939,9.61718,32.77472,132,305,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,74,chr1,7398114,7398788,13.81759,64.78654,354,674,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,101,chr1,9544707,9545237,9.42295,46.44268,313,530,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,101,chr1,9545396,9546886,14.25595,62.76231,458,1490,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,102,chr1,9545396,9546886,14.25595,62.76231,458,1490,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
23,102,chr1,9546950,9548461,4.10424,10.26332,1300,1511,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,107,chr1,9699269,9701448,17.81234,87.17393,1593,2179,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
26,108,chr1,9745342,9748443,20.70559,144.98450,2827,3101,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
26,109,chr1,9745342,9748443,20.70559,144.98450,2827,3101,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
29,110,chr1,9797371,9799305,26.96079,159.81831,967,1934,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
31,114,chr1,9942440,9944179,33.66325,252.22281,1456,1739,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
31,115,chr1,9942440,9944179,33.66325,252.22281,1456,1739,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
32,114,chr1,9944224,9944703,6.07987,21.17907,182,479,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
32,115,chr1,9944224,9944703,6.07987,21.17907,182,479,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
33,116,chr1,9967204,9968662,9.30793,31.72241,1099,1458,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
33,117,chr1,9967204,9968662,9.30793,31.72241,1099,1458,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
34,119,chr1,10008652,10009439,5.71770,16.94376,301,787,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
34,120,chr1,10008652,10009439,5.71770,16.94376,301,787,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
35,121,chr1,10036776,10040778,28.72487,175.93457,936,4002,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
35,122,chr1,10036776,10040778,28.72487,175.93457,936,4002,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
37,126,chr1,10231112,10234023,25.77486,164.50606,1664,2911,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
38,136,chr1,10993207,10994749,13.65824,64.32746,514,1542,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
40,140,chr1,11413554,11414191,6.01706,16.25314,337,637,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
41,140,chr1,11414283,11414607,5.73847,14.57099,186,324,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
41,141,chr1,11414283,11414607,5.73847,14.57099,186,324,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
42,151,chr1,12691741,12692596,4.20528,6.62234,403,855,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
48,152,chr1,12991336,12992860,5.51567,15.43140,1200,1524,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
56,165,chr1,13372580,13375252,30.39371,204.79120,883,2672,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
56,166,chr1,13372580,13375252,30.39371,204.79120,883,2672,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
59,168,chr1,13588023,13589978,30.80091,189.14220,1559,1955,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
60,168,chr1,13590047,13590368,6.52466,17.06028,131,321,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
61,170,chr1,13659450,13661010,18.12160,88.50254,837,1560,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
63,179,chr1,14309164,14310453,13.63745,57.86461,868,1289,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
65,181,chr1,14755480,14756248,3.44026,5.15613,188,768,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
66,188,chr1,15286435,15287570,11.72816,50.68750,662,1135,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
67,195,chr1,15805109,15806857,33.89342,216.04369,757,1748,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
69,198,chr1,15892274,15893191,8.38017,26.58463,521,917,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
70,200,chr1,16092843,16093508,8.53480,27.59205,432,665,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
71,201,chr1,16102973,16106819,31.04038,206.71637,1058,3846,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
71,202,chr1,16102973,16106819,31.04038,206.71637,1058,3846,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
72,206,chr1,16518126,16519613,19.82248,102.06042,1020,1487,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
73,206,chr1,16519719,16520349,22.14186,118.85066,194,630,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
74,207,chr1,16617191,16619340,34.51192,220.85907,1718,2149,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
74,208,chr1,16617191,16619340,34.51192,220.85907,1718,2149,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
75,208,chr1,16619481,16619852,4.32171,9.44566,178,371,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
76,209,chr1,16655300,16657649,19.12679,122.07799,1405,2349,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
76,210,chr1,16655300,16657649,19.12679,122.07799,1405,2349,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
77,211,chr1,16664879,16666522,33.87609,237.74739,657,1643,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
77,212,chr1,16664879,16666522,33.87609,237.74739,657,1643,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
78,213,chr1,16687707,16689180,12.96632,61.89400,880,1473,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
80,218,chr1,17096384,17097939,14.79927,67.55141,1213,1555,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
81,229,chr1,17727071,17727918,9.32475,32.41691,622,847,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
