peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671214,3671575,5.58671,9.05327,141,361,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
1,11,chr1,3671789,3672156,3.68393,3.95517,189,367,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,32,chr1,4784858,4786370,10.64136,28.39673,631,1512,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807444,4808768,8.18065,23.55634,188,1324,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807444,4808768,8.18065,23.55634,188,1324,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4856917,4857694,8.24706,18.59882,547,777,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
6,35,chr1,4857766,4858899,13.56774,41.52431,374,1133,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,54,chr1,6213802,6216117,19.15445,69.20639,1227,2315,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
9,55,chr1,6358943,6359488,7.44895,15.56585,308,545,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
10,57,chr1,6382863,6383330,4.52258,5.76179,143,467,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
11,58,chr1,6441134,6441696,9.31119,22.83256,340,562,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
12,67,chr1,7087978,7090102,10.64136,28.39673,508,2124,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
13,74,chr1,7398281,7398753,8.77912,20.68874,279,472,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
14,101,chr1,9544749,9545297,6.65085,12.66706,191,548,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
15,101,chr1,9545444,9546161,6.11878,10.82560,396,717,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
15,102,chr1,9545444,9546161,6.11878,10.82560,396,717,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
16,107,chr1,9699706,9700431,10.10929,26.13756,358,725,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
17,107,chr1,9700524,9701299,7.44895,15.56585,243,775,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
18,108,chr1,9746878,9748498,13.03567,39.05590,1178,1620,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
18,109,chr1,9746878,9748498,13.03567,39.05590,1178,1620,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
19,110,chr1,9797689,9798866,16.22808,54.33084,699,1177,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
21,113,chr1,9908576,9908985,3.72448,3.55798,222,409,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
22,114,chr1,9942714,9944194,21.55368,88.96988,1195,1480,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
22,115,chr1,9942714,9944194,21.55368,88.96988,1195,1480,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
23,114,chr1,9944360,9944720,6.38482,11.73777,200,360,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
23,115,chr1,9944360,9944720,6.38482,11.73777,200,360,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
24,116,chr1,9967386,9967768,5.32068,8.19667,192,382,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
24,117,chr1,9967386,9967768,5.32068,8.19667,192,382,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
25,117,chr1,9967847,9968416,4.25654,4.99937,409,569,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
26,121,chr1,10035880,10036157,3.45844,2.88172,84,277,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
27,121,chr1,10037251,10039698,11.37310,40.59067,355,2447,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
27,122,chr1,10037251,10039698,11.37310,40.59067,355,2447,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
28,122,chr1,10039741,10040547,8.80210,29.87192,261,806,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
29,126,chr1,10231446,10233905,20.75002,79.34648,1358,2459,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
30,136,chr1,10993454,10994299,9.44007,26.44550,264,845,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
31,140,chr1,11413574,11413900,4.52258,5.76179,137,326,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
32,140,chr1,11413945,11414940,8.51309,19.63778,511,995,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
32,141,chr1,11413945,11414940,8.51309,19.63778,511,995,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
33,151,chr1,12692145,12692699,3.99051,4.26233,190,554,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
36,152,chr1,12991557,12992762,4.60491,6.81929,675,1205,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
38,165,chr1,13372638,13374758,22.87893,89.14321,823,2120,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
38,166,chr1,13372638,13374758,22.87893,89.14321,823,2120,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
41,168,chr1,13588911,13589904,16.22808,54.33084,533,993,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
42,170,chr1,13659947,13660945,5.10522,10.86971,349,998,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
43,179,chr1,14309440,14310396,5.10522,10.86971,463,956,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
44,181,chr1,14755160,14755917,4.78861,6.54927,380,757,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
45,188,chr1,15286292,15287613,6.21663,12.63901,743,1321,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
46,195,chr1,15805585,15806713,14.96596,54.60283,417,1128,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
47,198,chr1,15892244,15893145,9.04516,21.75441,305,901,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
48,200,chr1,16092765,16093469,6.91688,13.61707,553,704,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
49,201,chr1,16103332,16104337,22.08082,84.78107,712,1005,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
49,202,chr1,16103332,16104337,22.08082,84.78107,712,1005,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
50,201,chr1,16104523,16106980,15.42997,50.41161,1517,2457,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
50,202,chr1,16104523,16106980,15.42997,50.41161,1517,2457,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
52,206,chr1,16519752,16520308,15.96204,53.01673,197,556,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
53,207,chr1,16617175,16617560,4.52258,5.76179,118,385,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
54,207,chr1,16617781,16619284,17.95752,81.27342,1115,1503,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
54,208,chr1,16617781,16619284,17.95752,81.27342,1115,1503,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
55,209,chr1,16655929,16657691,10.37533,27.26216,297,1762,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
55,210,chr1,16655929,16657691,10.37533,27.26216,297,1762,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
56,211,chr1,16665005,16666197,16.80793,64.90768,430,1192,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
56,212,chr1,16665005,16666197,16.80793,64.90768,430,1192,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
57,213,chr1,16688318,16689066,4.57709,8.60630,362,748,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
59,218,chr1,17097326,17097863,7.44895,15.56585,309,537,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
60,227,chr1,17602006,17602406,3.66847,3.47356,258,400,ENSMUSG00000067780,94227.0,Pi15,chr1,17601901,17630939,1
61,229,chr1,17727204,17727752,3.19245,3.00265,363,548,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
61,230,chr1,17727204,17727752,3.19245,3.00265,363,548,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
62,236,chr1,18058198,18058805,4.60141,7.42382,312,607,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
62,237,chr1,18058198,18058805,4.60141,7.42382,312,607,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
63,266,chr1,20819236,20820250,8.87881,21.42951,755,1014,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
63,267,chr1,20819236,20820250,8.87881,21.42951,755,1014,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
64,270,chr1,20890060,20892186,8.78904,21.24359,683,2126,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
64,271,chr1,20890060,20892186,8.78904,21.24359,683,2126,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
65,274,chr1,20951695,20952075,7.36786,17.28213,125,380,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
66,276,chr1,21077906,21078321,3.52145,3.43206,202,415,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
67,275,chr1,21078375,21079313,9.04754,22.30516,462,938,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
67,276,chr1,21078375,21079313,9.04754,22.30516,462,938,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
68,275,chr1,21079386,21079928,11.28203,35.31458,324,542,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
68,276,chr1,21079386,21079928,11.28203,35.31458,324,542,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
70,278,chr1,21218547,21219546,5.14661,15.89648,136,999,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
71,281,chr1,21271878,21272338,3.99051,4.26233,356,460,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
71,282,chr1,21271878,21272338,3.99051,4.26233,356,460,ENSMUSG00000096375,,Gm7094,chr1,21272403,21272906,1
72,296,chr1,21960775,21962539,6.53876,13.30646,418,1764,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
74,300,chr1,22805317,22806474,5.75614,10.87785,647,1157,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
75,305,chr1,23255710,23255994,2.99319,2.10090,169,284,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
76,305,chr1,23256189,23257554,9.57722,23.92324,506,1365,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
78,314,chr1,23761779,23762274,4.52258,5.76179,182,495,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
79,315,chr1,23921606,23922651,18.09031,63.70620,501,1045,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
80,316,chr1,24004971,24005951,10.64136,28.39673,388,980,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
80,317,chr1,24004971,24005951,10.64136,28.39673,388,980,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
81,318,chr1,24099096,24100282,14.50547,52.09213,897,1186,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
81,319,chr1,24099096,24100282,14.50547,52.09213,897,1186,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
82,318,chr1,24100545,24101166,10.37533,27.26216,194,621,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
82,319,chr1,24100545,24101166,10.37533,27.26216,194,621,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
83,323,chr1,24586319,24587520,7.98102,17.57369,408,1201,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
