peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,19,chr1,4496554,4497303,3.39404,5.42178,617,749,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
0,20,chr1,4496554,4497303,3.39404,5.42178,617,749,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
1,32,chr1,4785302,4786226,8.06085,31.78108,608,924,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
2,33,chr1,4807369,4808315,8.48510,34.70306,627,946,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
2,34,chr1,4807369,4808315,8.48510,34.70306,627,946,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
3,35,chr1,4856886,4858721,14.04123,85.94364,603,1835,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
5,54,chr1,6214115,6215613,25.73814,189.59186,669,1498,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
6,67,chr1,7087844,7090022,28.70793,220.87354,759,2178,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
8,74,chr1,7397665,7397938,8.06085,31.78108,143,273,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
9,74,chr1,7398185,7398713,7.49517,27.99365,350,528,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
11,101,chr1,9545460,9545998,3.56991,7.25374,126,538,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
11,102,chr1,9545460,9545998,3.56991,7.25374,126,538,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
13,105,chr1,9630204,9630852,4.03631,9.43981,414,648,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
15,107,chr1,9700473,9701227,5.51483,16.24065,372,754,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
