peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,19,chr1,4496145,4496466,3.15596,2.56807,176,321,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,32,chr1,4785303,4786282,5.29498,9.51565,263,979,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807463,4808190,5.42136,14.16607,565,727,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807463,4808190,5.42136,14.16607,565,727,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856840,4858660,7.40261,22.82899,563,1820,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,54,chr1,6214145,6215531,12.94758,48.80505,703,1386,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
9,67,chr1,7087850,7088903,20.11460,87.51937,732,1053,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
10,67,chr1,7088942,7090034,11.36469,42.44542,280,1092,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
11,74,chr1,7397673,7397976,5.90401,11.16010,136,303,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
12,74,chr1,7398159,7398640,4.48295,6.45032,301,481,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
13,101,chr1,9545447,9546161,5.49799,10.32207,117,714,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
13,102,chr1,9545447,9546161,5.49799,10.32207,117,714,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
15,105,chr1,9630091,9630992,3.57388,5.86925,253,901,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
16,107,chr1,9699829,9700341,2.47177,2.38055,355,512,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
17,107,chr1,9700524,9701238,5.70100,10.32207,256,714,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
18,108,chr1,9745478,9745750,3.40889,3.25690,139,272,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
19,108,chr1,9747512,9748515,13.21231,46.98173,626,1003,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
19,109,chr1,9747512,9748515,13.21231,46.98173,626,1003,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
20,114,chr1,9942826,9944096,8.23033,27.34011,1068,1270,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
20,115,chr1,9942826,9944096,8.23033,27.34011,1068,1270,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
23,121,chr1,10037426,10039600,15.24240,58.16041,617,2174,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
23,122,chr1,10037426,10039600,15.24240,58.16041,617,2174,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
