peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670880,3671065,7.00088,8.94030,61,185,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3671207,3671577,10.10545,14.60713,139,370,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,11,chr1,3671902,3672110,4.83392,3.68054,132,208,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
7,19,chr1,4494169,4494972,10.64693,16.80969,522,803,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,19,chr1,4495063,4495164,4.83392,3.68054,33,101,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,19,chr1,4495876,4497959,16.22437,44.53564,460,2083,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,20,chr1,4495876,4497959,16.22437,44.53564,460,2083,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
12,32,chr1,4785254,4786246,33.17649,125.82547,355,992,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
13,33,chr1,4807338,4808427,19.99157,94.39584,308,1089,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
13,34,chr1,4807338,4808427,19.99157,94.39584,308,1089,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
15,35,chr1,4857241,4857632,13.52959,63.06429,252,391,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
16,35,chr1,4857746,4858697,16.32162,58.03415,628,951,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
23,54,chr1,6213779,6215808,40.39969,164.96344,682,2029,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
24,54,chr1,6216489,6216589,3.87039,2.34059,78,100,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
25,55,chr1,6358876,6359267,4.22276,4.61122,181,391,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
26,55,chr1,6359446,6359546,3.50044,3.21636,70,100,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
27,57,chr1,6382901,6383146,9.89016,14.97757,126,245,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
28,57,chr1,6383292,6383425,6.64009,6.90826,57,133,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
29,67,chr1,7088219,7088791,26.56220,105.84900,385,572,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,67,chr1,7089049,7089642,39.56879,146.33020,208,593,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
36,74,chr1,7397610,7397949,28.60106,129.04987,187,339,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
37,74,chr1,7398127,7398763,16.17675,50.58804,217,636,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
38,101,chr1,9544896,9545234,5.66740,9.38571,252,338,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
39,101,chr1,9545409,9546284,26.49660,95.00569,103,875,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
39,102,chr1,9545409,9546284,26.49660,95.00569,103,875,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
40,102,chr1,9548062,9548527,6.38972,12.04579,102,465,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
41,107,chr1,9699755,9700435,22.79666,45.95594,554,680,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
42,107,chr1,9700490,9701376,15.96046,55.40348,322,886,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
44,108,chr1,9745258,9745358,3.83306,2.28143,55,100,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
45,108,chr1,9745465,9745916,3.75044,1.88742,381,451,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
46,108,chr1,9746208,9746308,4.71753,3.27644,78,100,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
47,108,chr1,9746522,9746664,4.26325,2.24098,64,142,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
48,108,chr1,9746710,9746968,6.63972,7.82076,163,258,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
49,108,chr1,9747340,9748473,37.29457,156.81329,937,1133,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
49,109,chr1,9747340,9748473,37.29457,156.81329,937,1133,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
50,109,chr1,9748689,9748855,9.72349,20.44715,86,166,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
52,110,chr1,9797606,9798808,30.47628,78.89148,1001,1202,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
57,114,chr1,9943061,9943182,5.19508,4.65516,49,121,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
