peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,7,chr1,3514731,3515066,2.96854,2.88655,248,335,ENSMUSG00000103201,,Gm37329,chr1,3512451,3514507,-1
4,11,chr1,3670266,3672771,25.32276,190.38437,950,2505,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
6,32,chr1,4785275,4786340,10.19651,37.48499,273,1065,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807368,4808396,10.28920,38.94668,625,1028,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807368,4808396,10.28920,38.94668,625,1028,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856873,4857704,9.71785,40.30123,569,831,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857780,4858821,10.38988,37.99541,184,1041,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,40,chr1,4970849,4971477,3.15407,3.44125,113,628,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
16,54,chr1,6214190,6215724,30.98411,190.75755,610,1534,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,57,chr1,6382903,6383185,5.38047,11.83144,101,282,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
22,67,chr1,7087811,7090008,36.57929,285.19937,806,2197,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,68,chr1,7137886,7138321,3.14391,3.99774,340,435,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
24,74,chr1,7397650,7397970,12.05968,48.16580,160,320,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
25,74,chr1,7398150,7398767,14.10055,61.33324,333,617,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
26,95,chr1,9298258,9300642,10.69706,55.04437,1054,2384,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,101,chr1,9545422,9546062,5.43505,13.44201,115,640,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
27,102,chr1,9545422,9546062,5.43505,13.44201,115,640,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,104,chr1,9600847,9602446,9.00813,34.19679,722,1599,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
30,105,chr1,9630072,9630812,3.61549,5.75471,151,740,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
31,107,chr1,9700471,9700836,4.26727,7.28099,147,365,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
32,108,chr1,9747389,9748428,12.38613,66.09157,818,1039,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
32,109,chr1,9747389,9748428,12.38613,66.09157,818,1039,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
33,110,chr1,9798075,9798518,4.08174,6.58655,156,443,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
34,114,chr1,9942925,9943564,4.03534,6.74996,480,639,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
35,114,chr1,9943616,9944146,14.84269,66.29600,305,530,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
35,115,chr1,9943616,9944146,14.84269,66.29600,305,530,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
36,114,chr1,9944267,9944732,5.38047,11.83144,138,465,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
36,115,chr1,9944267,9944732,5.38047,11.83144,138,465,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
37,121,chr1,10037472,10038223,26.77957,193.38771,559,751,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
37,122,chr1,10037472,10038223,26.77957,193.38771,559,751,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
38,122,chr1,10039436,10040293,15.31697,77.51937,509,857,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
39,126,chr1,10231517,10233963,22.26403,120.12730,1342,2446,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
43,136,chr1,10991218,10991420,3.15407,3.44125,131,202,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
44,136,chr1,10993516,10994052,4.16479,8.16248,319,536,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
50,152,chr1,12990067,12993260,25.96654,157.19478,2011,3193,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
57,165,chr1,13372555,13374750,26.90237,156.87155,964,2195,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
57,166,chr1,13372555,13374750,26.90237,156.87155,964,2195,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
59,168,chr1,13589018,13590017,21.90491,130.99524,643,999,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
61,177,chr1,14180456,14180711,3.45908,4.70573,100,255,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
62,177,chr1,14181001,14182133,4.67921,11.69443,530,1132,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
63,179,chr1,14309029,14310394,19.66656,100.50999,826,1365,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
65,188,chr1,15285966,15288108,17.36258,103.75192,1090,2142,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
66,195,chr1,15805079,15806528,16.65247,103.80420,712,1449,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
67,201,chr1,16103862,16106435,28.07737,264.84793,985,2573,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
67,202,chr1,16103862,16106435,28.07737,264.84793,985,2573,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
71,206,chr1,16518622,16520540,27.37014,169.19446,1353,1918,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
72,207,chr1,16618010,16619889,13.35842,56.45932,1088,1879,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
72,208,chr1,16618010,16619889,13.35842,56.45932,1088,1879,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
73,209,chr1,16656130,16657981,13.08581,79.71444,670,1851,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
73,210,chr1,16656130,16657981,13.08581,79.71444,670,1851,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
74,211,chr1,16664885,16665747,12.19940,49.88479,529,862,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
74,212,chr1,16664885,16665747,12.19940,49.88479,529,862,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
75,213,chr1,16688034,16689049,8.37570,27.02922,570,1015,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
