peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3671833,3672659,4.17553,13.05432,670,826,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,11,chr1,3673185,3674029,5.04948,19.33764,371,844,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,19,chr1,4487118,4502161,13.98318,110.95510,5520,15043,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4487118,4502161,13.98318,110.95510,5520,15043,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
12,47,chr1,5588477,5589912,5.34080,21.59193,639,1435,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
13,51,chr1,5914949,5919419,10.58449,71.72736,1343,4470,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,55,chr1,6357293,6357561,3.20448,7.06894,129,268,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,55,chr1,6357618,6358603,3.18204,8.79251,838,985,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,55,chr1,6358699,6361032,4.75816,17.16040,900,2333,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6383621,6384355,3.10737,6.54008,579,734,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,58,chr1,6440615,6441282,3.30158,7.61327,382,667,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,58,chr1,6441610,6442580,5.14659,20.08099,367,970,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
26,95,chr1,9297951,9301043,4.92459,23.27519,1429,3092,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,95,chr1,9301258,9301728,3.27430,7.52896,218,470,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
29,107,chr1,9701663,9702174,2.81606,5.03281,313,511,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
30,110,chr1,9795124,9797755,7.08869,36.49682,1922,2631,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
31,110,chr1,9798581,9800463,7.18580,37.38600,596,1882,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
34,113,chr1,9908902,9909189,2.62185,4.10351,128,287,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
37,116,chr1,9964266,9970702,14.15653,113.96056,4908,6436,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
37,117,chr1,9964266,9970702,14.15653,113.96056,4908,6436,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
39,126,chr1,10233728,10235094,3.69001,9.91489,421,1366,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
40,136,chr1,10992434,10992885,2.62185,4.10351,142,451,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
46,140,chr1,11411966,11414113,5.92343,26.31048,1058,2147,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
47,141,chr1,11414661,11416494,7.38001,39.18319,282,1833,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
67,151,chr1,12690283,12691404,3.69001,9.91489,966,1121,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
68,151,chr1,12692130,12692708,3.20448,7.06894,425,578,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
86,152,chr1,12991742,12992344,3.01027,6.02306,373,602,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
87,152,chr1,12992457,12993977,2.87244,8.13011,736,1520,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
88,152,chr1,12994096,12994372,3.01027,6.02306,109,276,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
99,156,chr1,13122045,13131826,12.61568,95.42894,2353,9781,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
101,165,chr1,13375355,13376513,3.49579,8.73910,546,1158,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
101,166,chr1,13375355,13376513,3.49579,8.73910,546,1158,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
107,168,chr1,13590545,13591033,2.91316,5.52090,238,488,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
109,174,chr1,13848816,13849875,3.01027,6.02306,256,1059,ENSMUSG00000102166,,Gm36947,chr1,13846871,13849119,-1
