peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3667743,3672823,52.30062,352.39899,3467,5080,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,32,chr1,4784775,4786457,41.99401,328.15265,809,1682,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807164,4808798,51.68867,334.41031,900,1634,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807164,4808798,51.68867,334.41031,900,1634,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4856992,4859135,54.12907,341.72617,1141,2143,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,47,chr1,5588189,5589292,8.07222,31.37525,488,1103,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
10,51,chr1,5916431,5918109,22.72084,105.70190,548,1678,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
11,54,chr1,6213588,6216251,58.13863,374.75980,832,2663,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6358755,6359713,13.58795,49.85112,531,958,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,57,chr1,6382521,6383470,28.51243,145.07047,483,949,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
15,58,chr1,6441090,6441856,16.61314,72.45418,347,766,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,67,chr1,7087924,7090453,49.45124,303.76788,1245,2529,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
21,74,chr1,7396969,7398899,36.31915,270.13290,787,1930,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
22,95,chr1,9296237,9301023,43.43690,256.09344,3022,4786,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
23,101,chr1,9544762,9547415,41.43213,240.52827,811,2653,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
23,102,chr1,9544762,9547415,41.43213,240.52827,811,2653,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,102,chr1,9547525,9548454,3.89691,5.51319,751,929,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
25,104,chr1,9600930,9602748,20.49790,99.25830,655,1818,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
26,107,chr1,9699297,9701474,54.12907,341.72617,1476,2177,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
29,108,chr1,9744437,9745208,7.99892,22.88355,596,771,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
30,108,chr1,9745334,9746331,7.45840,24.99233,254,997,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,108,chr1,9746443,9748930,42.64257,334.89764,1673,2487,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,109,chr1,9746443,9748930,42.64257,334.89764,1673,2487,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
32,110,chr1,9797333,9799247,57.24761,367.38107,913,1914,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
34,113,chr1,9908259,9909161,12.69694,44.94067,431,902,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
35,114,chr1,9942157,9944681,41.99401,328.15265,1746,2524,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
35,115,chr1,9942157,9944681,41.99401,328.15265,1746,2524,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
36,116,chr1,9966970,9968502,13.58795,49.85112,921,1532,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
36,117,chr1,9966970,9968502,13.58795,49.85112,921,1532,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
37,119,chr1,10008544,10009609,18.25394,83.16858,587,1065,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
37,120,chr1,10008544,10009609,18.25394,83.16858,587,1065,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
38,121,chr1,10036872,10040934,61.74061,412.50815,917,4062,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
38,122,chr1,10036872,10040934,61.74061,412.50815,917,4062,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
39,126,chr1,10231350,10234078,57.69312,371.06839,1070,2728,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
40,136,chr1,10993041,10994772,39.77810,248.00842,658,1731,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
42,140,chr1,11413328,11415768,39.65010,226.84233,1148,2440,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
42,141,chr1,11413328,11415768,39.65010,226.84233,1148,2440,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
43,151,chr1,12691704,12693797,19.82505,87.04955,1368,2093,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
48,152,chr1,12989915,12993270,33.14255,215.31393,2195,3355,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
50,156,chr1,13128002,13128623,4.00956,5.48303,182,621,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
53,165,chr1,13371731,13375028,61.92543,406.33340,2166,3297,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
53,166,chr1,13371731,13375028,61.92543,406.33340,2166,3297,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
56,168,chr1,13587990,13590443,56.57935,361.86237,1446,2453,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
57,170,chr1,13659803,13661020,30.93106,184.52190,578,1217,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
61,179,chr1,14309217,14310633,38.59233,231.10564,753,1416,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
64,181,chr1,14754810,14756488,41.20937,238.80943,609,1678,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
65,185,chr1,14918491,14919019,10.25502,34.53833,250,528,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
66,188,chr1,15285982,15288898,54.35182,343.55026,1051,2916,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
68,195,chr1,15805062,15806874,61.63433,409.61136,842,1812,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
69,198,chr1,15892241,15893211,29.40344,151.34126,551,970,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
70,200,chr1,16092641,16093605,22.05258,101.33069,604,964,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
71,201,chr1,16102974,16107155,53.46080,336.26450,2134,4181,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
71,202,chr1,16102974,16107155,53.46080,336.26450,2134,4181,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
72,206,chr1,16517854,16520586,52.71082,355.99423,1182,2732,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
73,207,chr1,16617161,16620085,63.03920,415.67944,1675,2924,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
73,208,chr1,16617161,16620085,63.03920,415.67944,1675,2924,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
74,209,chr1,16655609,16657820,56.38765,374.33392,983,2211,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
74,210,chr1,16655609,16657820,56.38765,374.33392,983,2211,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
75,211,chr1,16664881,16666266,56.15085,363.40823,572,1385,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
75,212,chr1,16664881,16666266,56.15085,363.40823,572,1385,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
76,213,chr1,16687947,16689202,31.40822,165.63887,651,1255,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
77,218,chr1,17096101,17098327,43.43690,256.09344,1541,2226,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
78,219,chr1,17123363,17123636,4.15089,7.17685,169,273,ENSMUSG00000100110,,Gm28783,chr1,17124747,17128956,1
79,220,chr1,17145212,17146464,36.37192,250.04462,345,1252,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
80,229,chr1,17727081,17728174,15.48478,70.30470,513,1093,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
80,230,chr1,17727081,17728174,15.48478,70.30470,513,1093,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
81,236,chr1,18057155,18059369,42.25113,262.62860,1472,2214,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
81,237,chr1,18057155,18059369,42.25113,262.62860,1472,2214,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
83,247,chr1,19103439,19104927,6.01434,12.78445,1298,1488,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
83,248,chr1,19103439,19104927,6.01434,12.78445,1298,1488,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
84,248,chr1,19105049,19106024,4.00956,5.48303,807,975,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
89,266,chr1,20819257,20820383,31.17527,176.70543,884,1126,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
89,267,chr1,20819257,20820383,31.17527,176.70543,884,1126,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
90,266,chr1,20820505,20820824,3.66919,6.50135,168,319,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
90,267,chr1,20820505,20820824,3.66919,6.50135,168,319,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
91,270,chr1,20889925,20892811,52.34704,327.18716,908,2886,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
91,271,chr1,20889925,20892811,52.34704,327.18716,908,2886,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
92,274,chr1,20951032,20952402,30.69268,178.60664,792,1370,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
93,275,chr1,21078340,21080051,51.01052,316.34592,1212,1711,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
93,276,chr1,21078340,21080051,51.01052,316.34592,1212,1711,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
95,278,chr1,21218331,21219490,26.66198,199.31482,364,1159,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
96,281,chr1,21271424,21271659,4.00956,5.48303,106,235,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
96,282,chr1,21271424,21271659,4.00956,5.48303,106,235,ENSMUSG00000096375,,Gm7094,chr1,21272403,21272906,1
97,281,chr1,21271810,21272411,4.23231,6.21379,438,601,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
97,282,chr1,21271810,21272411,4.23231,6.21379,438,601,ENSMUSG00000096375,,Gm7094,chr1,21272403,21272906,1
99,296,chr1,21959526,21963103,46.55545,280.64102,2032,3577,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
101,300,chr1,22803188,22807446,53.53122,363.20038,2836,4258,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
102,305,chr1,23255593,23258172,31.10156,261.42368,1146,2579,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
107,314,chr1,23761121,23764686,49.67400,305.55948,1106,3565,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
109,315,chr1,23920715,23922878,61.25717,400.73703,1428,2163,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
110,316,chr1,24004772,24006076,49.00574,300.18964,733,1304,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
110,317,chr1,24004772,24006076,49.00574,300.18964,733,1304,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
111,318,chr1,24098962,24101220,49.80438,370.73242,1064,2258,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
111,319,chr1,24098962,24101220,49.80438,370.73242,1064,2258,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
113,323,chr1,24585932,24587849,32.26071,182.69566,772,1917,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
114,332,chr1,24677888,24679926,57.83833,401.35724,1004,2038,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
119,359,chr1,25823744,25832750,45.73740,295.63303,6220,9006,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
119,360,chr1,25823744,25832750,45.73740,295.63303,6220,9006,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
119,361,chr1,25823744,25832750,45.73740,295.63303,6220,9006,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
120,391,chr1,30871870,30874669,59.25239,384.01202,1524,2799,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
121,392,chr1,30946646,30951179,62.59369,411.93820,2753,4533,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
121,393,chr1,30946646,30951179,62.59369,411.93820,2753,4533,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
122,411,chr1,32172015,32176660,35.09555,257.39734,892,4645,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
124,437,chr1,33669137,33671027,40.78917,274.03098,944,1890,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
124,438,chr1,33669137,33671027,40.78917,274.03098,944,1890,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
125,440,chr1,33719381,33721444,48.11472,293.05548,905,2063,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
126,442,chr1,33756926,33758238,42.54589,249.15388,715,1312,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
127,443,chr1,33812580,33815219,54.67893,359.74234,1575,2639,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
129,446,chr1,33905835,33910133,50.34226,310.94537,2143,4298,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
129,447,chr1,33905835,33910133,50.34226,310.94537,2143,4298,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
133,459,chr1,34432322,34435815,34.95362,231.44662,2764,3493,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
133,460,chr1,34432322,34435815,34.95362,231.44662,2764,3493,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
134,461,chr1,34438453,34440717,46.77821,282.40875,1152,2264,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
134,462,chr1,34438453,34440717,46.77821,282.40875,1152,2264,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
135,464,chr1,34459114,34460544,28.25267,172.95575,782,1430,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
136,465,chr1,34472415,34473420,24.50287,117.54160,491,1005,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
