peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670453,3671058,3.38330,3.99870,203,605,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
1,11,chr1,3672175,3672603,3.97464,5.42189,276,428,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,19,chr1,4495660,4496259,3.45621,3.73511,397,599,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4496902,4497606,4.27908,6.79748,297,704,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496902,4497606,4.27908,6.79748,297,704,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
11,51,chr1,5916712,5917125,4.49307,7.23556,230,413,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,51,chr1,5917292,5918049,3.11059,2.70143,332,757,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,95,chr1,9299602,9300296,3.97464,5.42189,544,694,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
14,116,chr1,9966829,9968002,5.52993,11.19738,200,1173,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
14,117,chr1,9966829,9968002,5.52993,11.19738,200,1173,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
15,140,chr1,11413977,11414579,4.14745,6.01535,405,602,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
15,141,chr1,11413977,11414579,4.14745,6.01535,405,602,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
18,152,chr1,12993058,12993315,2.75889,2.71382,179,257,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
21,156,chr1,13126346,13126891,3.97464,5.42189,335,545,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
22,156,chr1,13127081,13128982,4.76738,9.19598,342,1901,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
23,156,chr1,13129215,13129898,3.62902,4.28153,343,683,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
30,181,chr1,14754974,14756389,3.53709,4.52379,303,1415,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
31,236,chr1,18057693,18058805,4.49307,7.23556,896,1112,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
31,237,chr1,18057693,18058805,4.49307,7.23556,896,1112,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
32,236,chr1,18059029,18059377,2.56078,1.75387,178,348,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
32,237,chr1,18059029,18059377,2.56078,1.75387,178,348,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
34,248,chr1,19106226,19106547,2.96244,2.44820,133,321,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
36,250,chr1,19207022,19207621,2.48547,2.09123,194,599,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
37,250,chr1,19209103,19209716,3.11874,4.11292,188,613,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
54,251,chr1,19242760,19243026,3.97464,5.42189,137,266,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
56,296,chr1,21961494,21962477,4.32026,6.62003,529,983,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
60,314,chr1,23760671,23761655,3.53709,4.52379,411,984,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
61,323,chr1,24585816,24587829,5.01150,9.17071,161,2013,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
62,360,chr1,25829521,25829813,3.45621,3.73511,144,292,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
62,361,chr1,25829521,25829813,3.45621,3.73511,144,292,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
63,360,chr1,25829897,25830332,3.62902,4.28153,261,435,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
63,361,chr1,25829897,25830332,3.62902,4.28153,261,435,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
64,360,chr1,25831190,25831608,3.28340,3.20706,228,418,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
65,411,chr1,32172671,32173204,3.45621,3.73511,427,533,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
66,447,chr1,33906161,33906781,3.28340,3.20706,155,620,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
67,447,chr1,33906903,33907158,2.99879,3.65556,184,255,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
68,446,chr1,33908241,33909292,4.83869,8.51605,143,1051,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
68,447,chr1,33908241,33909292,4.83869,8.51605,143,1051,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
