peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,11,chr1,3670303,3672712,21.36135,107.37717,1165,2409,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
6,32,chr1,4785262,4786304,13.52795,55.26275,314,1042,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807497,4808204,6.56338,15.22770,482,707,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807497,4808204,6.56338,15.22770,482,707,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4857257,4857682,7.05512,18.60666,237,425,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857736,4858729,12.35846,39.97894,255,993,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
15,54,chr1,6214072,6215622,33.27277,167.34064,706,1550,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,58,chr1,6441357,6441674,3.08961,2.46195,264,317,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,67,chr1,7087830,7089696,37.30733,212.22940,774,1866,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
24,68,chr1,7138621,7139879,6.89222,15.05978,523,1258,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
25,74,chr1,7397638,7397958,12.44285,53.73139,164,320,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
26,74,chr1,7398056,7398853,19.01301,76.33537,237,797,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,95,chr1,9298376,9300647,15.48208,66.98191,1040,2271,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,101,chr1,9545407,9545891,6.65455,14.12339,108,484,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
30,102,chr1,9545407,9545891,6.65455,14.12339,108,484,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
31,102,chr1,9548126,9548887,4.11549,6.25757,127,761,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
34,104,chr1,9601116,9601922,5.29305,10.05365,465,806,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
37,105,chr1,9630554,9630867,5.42258,10.33672,140,313,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
38,107,chr1,9700260,9700661,3.08961,2.46195,239,401,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
