peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670343,3672627,9.65064,22.79894,1109,2284,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,32,chr1,4784901,4786286,15.05191,46.96663,648,1385,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807358,4808925,20.77090,74.31445,698,1567,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807358,4808925,20.77090,74.31445,698,1567,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4857273,4857637,7.40400,19.94320,174,364,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857728,4859041,16.40615,54.79756,403,1313,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588390,5588954,4.56709,5.47774,167,564,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5916707,5917017,3.77279,3.26953,141,310,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6213869,6215712,10.27093,46.16693,943,1843,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6358730,6359560,7.53976,16.82753,622,830,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,57,chr1,6382837,6383319,7.58545,15.40341,175,482,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
15,58,chr1,6441112,6441729,13.93988,41.83924,272,617,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,67,chr1,7087828,7088791,19.65887,68.64116,733,963,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,67,chr1,7088951,7090064,12.11373,36.56138,261,1113,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
22,74,chr1,7397605,7397937,8.85634,19.54657,172,332,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
23,74,chr1,7398158,7398778,5.83798,9.68348,255,620,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,95,chr1,9298414,9300267,6.15570,10.58938,1073,1853,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
25,101,chr1,9544759,9545232,9.25500,24.06309,243,473,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
26,101,chr1,9545410,9546157,9.11206,22.99421,161,747,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
26,102,chr1,9545410,9546157,9.11206,22.99421,161,747,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
27,102,chr1,9548036,9548238,3.77279,3.26953,62,202,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,104,chr1,9601127,9601862,3.40178,3.75760,679,735,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
30,107,chr1,9699336,9700396,13.78102,40.57782,709,1060,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
31,107,chr1,9700468,9701397,11.82786,35.37991,368,929,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
32,108,chr1,9745497,9745811,4.09051,3.96737,101,314,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
33,108,chr1,9747057,9748464,16.95824,56.23811,1107,1407,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
33,109,chr1,9747057,9748464,16.95824,56.23811,1107,1407,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
