peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670273,3672634,39.09575,251.84193,991,2361,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4494363,4495303,2.14034,1.32482,31,940,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4495963,4497840,6.97364,27.51319,1436,1877,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4495963,4497840,6.97364,27.51319,1436,1877,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,26,chr1,4689158,4689483,5.40541,11.04676,159,325,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
7,32,chr1,4784851,4786400,71.52667,566.00616,709,1549,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,33,chr1,4807295,4809242,46.14371,419.99164,701,1947,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
8,34,chr1,4807295,4809242,46.14371,419.99164,701,1947,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
9,35,chr1,4856892,4859132,64.77122,531.97803,1396,2240,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,47,chr1,5588294,5589037,12.10625,46.70214,288,743,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
13,51,chr1,5916495,5917896,9.83003,56.03704,517,1401,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213746,6216037,71.48315,557.86133,1394,2291,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358776,6359700,25.69407,141.66861,371,924,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382572,6383508,25.13567,137.18454,498,936,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6441068,6441782,23.64659,126.84078,379,714,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
20,67,chr1,7087880,7090100,35.56969,335.21536,1358,2220,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,74,chr1,7396939,7398918,40.01530,393.91147,868,1979,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,95,chr1,9298617,9300215,7.69659,24.06452,487,1598,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
25,101,chr1,9544676,9548868,51.38063,363.39725,890,4192,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
25,102,chr1,9544676,9548868,51.38063,363.39725,890,4192,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
26,105,chr1,9629775,9631163,5.71452,16.27997,652,1388,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
27,107,chr1,9699269,9701439,56.03399,407.01825,832,2170,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
28,108,chr1,9744873,9745154,13.22306,53.86193,129,281,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
29,108,chr1,9745351,9748964,63.92706,555.20898,2716,3613,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
29,109,chr1,9745351,9748964,63.92706,555.20898,2716,3613,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
31,110,chr1,9797400,9799423,41.93772,418.88013,980,2023,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
33,113,chr1,9908356,9908934,12.66466,50.25219,371,578,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
36,114,chr1,9942081,9944688,80.04533,643.58752,1824,2607,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
36,115,chr1,9942081,9944688,80.04533,643.58752,1824,2607,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
37,116,chr1,9966839,9968655,35.18693,218.66354,1337,1816,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
37,117,chr1,9966839,9968655,35.18693,218.66354,1337,1816,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
38,119,chr1,10008732,10009513,15.64281,68.84953,289,781,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
38,120,chr1,10008732,10009513,15.64281,68.84953,289,781,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
39,121,chr1,10036829,10040868,75.53680,646.44293,896,4039,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
39,122,chr1,10036829,10040868,75.53680,646.44293,896,4039,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
40,126,chr1,10231352,10234047,74.83358,590.79694,1000,2695,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
41,136,chr1,10993065,10995630,48.77475,338.36780,613,2565,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
43,140,chr1,11413535,11414842,23.58863,135.86086,508,1307,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
43,141,chr1,11413535,11414842,23.58863,135.86086,508,1307,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
44,151,chr1,12691688,12692752,11.67277,44.89439,827,1064,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
49,152,chr1,12990431,12993032,33.32542,210.20128,1820,2601,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
53,156,chr1,13126030,13126896,3.57576,6.27786,409,866,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
54,156,chr1,13128637,13128889,3.29983,3.67884,153,252,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
56,165,chr1,13371805,13374991,70.36635,546.30426,1707,3186,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
56,166,chr1,13371805,13374991,70.36635,546.30426,1707,3186,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
60,168,chr1,13587912,13590500,65.45010,501.10703,1660,2588,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
