peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670331,3672652,20.87538,131.50192,923,2321,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,32,chr1,4785382,4786295,6.14590,18.96446,599,913,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807411,4808279,13.10426,65.65614,597,868,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807411,4808279,13.10426,65.65614,597,868,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4857027,4858655,14.93276,80.19072,1079,1628,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,54,chr1,6214153,6215582,32.91301,249.19992,659,1429,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
11,57,chr1,6382821,6383187,3.96175,7.34642,216,366,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
12,58,chr1,6441202,6441536,3.65700,6.06483,152,334,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
21,67,chr1,7087816,7090040,31.69401,236.61998,764,2224,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,74,chr1,7397691,7397901,4.25446,8.95380,119,210,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,74,chr1,7398098,7398656,6.55213,20.57778,397,558,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,95,chr1,9298336,9300226,7.92350,28.87938,952,1890,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
29,101,chr1,9545428,9546269,3.38734,6.46724,495,841,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
29,102,chr1,9545428,9546269,3.38734,6.46724,495,841,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
31,104,chr1,9601002,9601909,4.72363,10.83612,361,907,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
33,105,chr1,9630546,9631170,3.65700,6.06483,365,624,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
36,107,chr1,9699819,9700327,3.96105,7.61192,353,508,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
37,107,chr1,9700390,9701126,4.26650,8.69397,377,736,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
38,108,chr1,9747361,9748456,17.98026,105.80109,859,1095,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
38,109,chr1,9747361,9748456,17.98026,105.80109,859,1095,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
39,114,chr1,9942699,9943270,4.41888,9.39337,356,571,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
40,114,chr1,9943648,9944150,10.85621,50.54446,298,502,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
40,115,chr1,9943648,9944150,10.85621,50.54446,298,502,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
41,121,chr1,10037391,10038679,17.70746,115.70659,657,1288,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
41,122,chr1,10037391,10038679,17.70746,115.70659,657,1288,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
42,122,chr1,10038898,10040387,16.07801,122.43319,1040,1489,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
43,126,chr1,10231721,10233442,18.58976,111.10781,1116,1721,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
44,136,chr1,10993545,10994016,2.74275,2.70703,431,471,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
46,140,chr1,11414312,11414540,2.73435,3.76915,117,228,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
46,141,chr1,11414312,11414540,2.73435,3.76915,117,228,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
50,151,chr1,12689313,12689811,3.96175,7.34642,211,498,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
51,151,chr1,12691707,12692702,3.50463,5.45151,575,995,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
61,152,chr1,12990339,12993117,18.08300,107.80302,1979,2778,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
68,160,chr1,13290025,13290530,3.25829,5.45151,103,505,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
69,165,chr1,13372063,13374777,37.03698,327.73630,909,2714,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
69,166,chr1,13372063,13374777,37.03698,327.73630,909,2714,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
71,168,chr1,13589045,13589960,27.42751,193.67329,529,915,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
72,177,chr1,14180282,14180829,2.89513,3.21028,82,547,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
73,177,chr1,14181246,14182334,6.35306,21.71351,650,1088,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
74,179,chr1,14309489,14310374,8.52168,39.23226,439,885,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
75,188,chr1,15286271,15287715,14.62801,77.72141,727,1444,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
76,195,chr1,15805125,15805522,5.94263,17.14355,221,397,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
77,195,chr1,15805586,15806428,15.69463,86.43934,195,842,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
78,200,chr1,16092932,16093475,3.50070,6.12258,49,543,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
79,201,chr1,16103928,16106231,39.61752,320.52179,946,2303,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
79,202,chr1,16103928,16106231,39.61752,320.52179,946,2303,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
83,206,chr1,16519378,16520268,17.06601,97.95153,544,890,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
84,207,chr1,16618420,16619296,8.07588,29.84590,727,876,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
84,208,chr1,16618420,16619296,8.07588,29.84590,727,876,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
85,208,chr1,16619430,16619695,2.83860,3.41130,124,265,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
86,209,chr1,16656192,16657963,22.15168,144.69991,597,1771,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
86,210,chr1,16656192,16657963,22.15168,144.69991,597,1771,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
