peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
8,11,chr1,3672263,3672668,3.31924,7.01890,282,405,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
10,19,chr1,4496538,4497289,3.14684,7.80359,574,751,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
10,20,chr1,4496538,4497289,3.14684,7.80359,574,751,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
11,20,chr1,4497404,4497697,2.43874,4.25097,116,293,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,32,chr1,4786421,4787026,2.05908,3.11152,385,605,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
16,33,chr1,4808273,4808979,3.59593,10.64181,408,706,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
16,34,chr1,4808273,4808979,3.59593,10.64181,408,706,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
18,35,chr1,4856806,4857145,3.88676,9.99635,123,339,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
21,40,chr1,4969641,4971204,3.54265,7.70859,1229,1563,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
27,47,chr1,5588179,5589260,4.31690,12.44771,942,1081,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
29,51,chr1,5916913,5917259,2.48810,3.99946,183,346,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
30,51,chr1,5917345,5918071,3.80074,9.40656,517,726,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
34,54,chr1,6215468,6216920,6.12348,25.21649,837,1452,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
35,55,chr1,6359011,6359647,3.52444,8.73947,527,636,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
36,57,chr1,6382708,6382934,2.59635,3.35202,106,226,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
37,58,chr1,6441689,6441927,2.94046,4.66981,168,238,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
52,60,chr1,6866340,6867264,2.63242,3.76804,639,924,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
53,67,chr1,7087780,7088372,3.94168,11.41345,191,592,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
56,68,chr1,7138133,7138769,3.37060,7.17511,337,636,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
57,68,chr1,7139062,7139505,2.90038,5.18895,157,443,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
66,95,chr1,9300022,9301034,2.83663,5.60232,487,1012,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
67,101,chr1,9544771,9545134,5.09477,23.12178,164,363,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
68,102,chr1,9546580,9549169,3.71592,14.31388,1588,2589,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
71,104,chr1,9600847,9601224,2.21283,3.16143,271,377,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
74,105,chr1,9629832,9630826,2.10367,3.11152,510,994,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
77,107,chr1,9699274,9700072,4.63481,15.78123,561,798,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
78,107,chr1,9700999,9701380,2.74876,5.23662,209,381,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
84,108,chr1,9744889,9745155,4.57499,14.37757,131,266,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
85,108,chr1,9745394,9747569,8.55502,54.28912,1641,2175,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
87,110,chr1,9797374,9797714,2.30264,2.46178,124,340,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
90,114,chr1,9941097,9943303,6.03720,26.35747,1300,2206,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
91,116,chr1,9967164,9967620,2.67345,5.33954,203,456,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
91,117,chr1,9967164,9967620,2.67345,5.33954,203,456,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
92,116,chr1,9967699,9968482,3.22943,9.57716,536,783,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
92,117,chr1,9967699,9968482,3.22943,9.57716,536,783,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
93,119,chr1,10008443,10008962,3.70054,9.64615,365,519,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
94,119,chr1,10009267,10009596,2.05908,3.11152,163,329,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
94,120,chr1,10009267,10009596,2.05908,3.11152,163,329,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
