peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670230,3672731,45.95247,231.61856,1011,2501,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,20,chr1,4497236,4497743,4.07360,5.93516,175,507,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4784839,4786390,48.11129,263.06192,733,1551,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807323,4808910,56.01465,299.50800,716,1587,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807323,4808910,56.01465,299.50800,716,1587,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4856961,4859061,54.40470,288.30139,1185,2100,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,47,chr1,5588198,5589138,19.99203,74.29027,413,940,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916401,5918026,21.60198,81.53816,724,1625,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,54,chr1,6213759,6215843,60.84450,333.53659,1354,2084,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,55,chr1,6358779,6359636,17.27948,74.31792,469,857,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6382768,6383464,24.01691,94.92333,287,696,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,58,chr1,6441045,6441686,14.21730,47.07839,331,641,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
25,67,chr1,7087855,7090077,32.46791,154.70837,1378,2222,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,74,chr1,7397059,7398900,37.29899,175.63121,748,1841,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,95,chr1,9298289,9300433,28.74330,130.65788,1160,2144,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
29,101,chr1,9544677,9548387,43.53754,215.59004,890,3710,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
29,102,chr1,9544677,9548387,43.53754,215.59004,890,3710,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
30,104,chr1,9601140,9602648,5.75359,14.66188,454,1508,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
31,107,chr1,9699180,9701436,45.82028,257.79263,896,2256,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
32,108,chr1,9744840,9745152,6.50871,12.42531,187,312,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
33,108,chr1,9745379,9748520,46.08725,304.73819,2685,3141,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
33,109,chr1,9745379,9748520,46.08725,304.73819,2685,3141,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
34,109,chr1,9748641,9748879,5.23752,9.83120,142,238,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
35,110,chr1,9797489,9799026,55.41092,295.76447,854,1537,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
37,113,chr1,9908497,9909092,8.69212,26.35931,252,595,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
38,114,chr1,9942154,9944724,49.43286,358.03912,1772,2570,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
38,115,chr1,9942154,9944724,49.43286,358.03912,1772,2570,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
39,116,chr1,9967118,9968568,25.57738,112.02413,1001,1450,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
39,117,chr1,9967118,9968568,25.57738,112.02413,1001,1450,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
40,119,chr1,10008688,10009555,9.58603,30.56320,291,867,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
40,120,chr1,10008688,10009555,9.58603,30.56320,291,867,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
41,121,chr1,10036869,10040797,66.88181,375.88855,827,3928,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
41,122,chr1,10036869,10040797,66.88181,375.88855,827,3928,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
42,126,chr1,10231412,10233905,57.98152,334.71234,1393,2493,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
43,136,chr1,10993232,10994627,36.06534,187.18846,454,1395,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
45,140,chr1,11413541,11414917,22.03899,91.06107,902,1376,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
45,141,chr1,11413541,11414917,22.03899,91.06107,902,1376,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
47,151,chr1,12691681,12694904,20.59576,77.17237,1450,3223,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
51,152,chr1,12990102,12993029,28.84675,122.84718,2126,2927,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
53,156,chr1,13126152,13126829,4.14007,5.22211,410,677,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
54,156,chr1,13128211,13128572,3.97461,4.14323,167,361,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
56,165,chr1,13371766,13374990,66.88181,375.88855,2110,3224,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
