peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3673294,3673701,2.62861,4.34628,268,407,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4487138,4501762,9.79106,61.55083,3539,14624,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4487138,4501762,9.79106,61.55083,3539,14624,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
10,47,chr1,5588651,5589767,4.35434,11.70061,474,1116,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5915323,5918529,9.28173,44.54360,902,3206,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,51,chr1,5918719,5919034,3.38250,7.23027,157,315,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,55,chr1,6357725,6358184,4.06871,9.37340,304,459,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,55,chr1,6358339,6360645,4.27617,10.86063,1595,2306,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,57,chr1,6383942,6384122,2.79724,3.62652,62,180,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
17,58,chr1,6441589,6442323,3.68726,7.47371,135,734,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
18,95,chr1,9298068,9301105,5.21303,15.78009,2124,3037,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
19,95,chr1,9301435,9302143,2.32297,2.73055,223,708,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,105,chr1,9630933,9631408,2.79724,3.62652,352,475,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
30,110,chr1,9795608,9795874,2.71623,4.79480,132,266,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
31,110,chr1,9796025,9797773,6.87070,31.55494,393,1748,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
37,116,chr1,9963944,9965228,4.83159,13.53732,842,1284,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
38,116,chr1,9965343,9969967,9.09046,51.15053,1797,4624,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
38,117,chr1,9965343,9969967,9.09046,51.15053,1797,4624,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
39,117,chr1,9970024,9970831,4.04469,9.57706,142,807,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
42,119,chr1,10008437,10008914,2.79724,3.62652,355,477,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
43,126,chr1,10234626,10234951,2.92438,4.11808,141,325,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
45,140,chr1,11412116,11412377,3.30582,5.71740,186,261,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
46,140,chr1,11412433,11413500,4.70444,12.81219,620,1067,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
47,140,chr1,11413562,11413840,3.05153,4.63201,145,278,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
48,141,chr1,11414774,11415938,5.34797,18.04926,128,1164,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
49,141,chr1,11416078,11416425,2.67009,3.15530,61,347,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
62,150,chr1,12670684,12671294,2.69646,3.37618,259,610,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
63,150,chr1,12672935,12674826,5.26538,16.31427,482,1891,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
71,151,chr1,12690021,12691509,5.10803,16.84917,822,1488,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
72,151,chr1,12691760,12692568,2.92438,4.11808,592,808,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
87,152,chr1,12992995,12993941,3.06632,6.35313,285,946,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
88,152,chr1,12994565,12995196,3.06589,5.98151,165,631,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
98,156,chr1,13122057,13131836,11.95182,66.88689,2415,9779,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
100,165,chr1,13375506,13376268,3.06416,4.85751,516,762,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
100,166,chr1,13375506,13376268,3.06416,4.85751,516,762,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
101,165,chr1,13376357,13376635,2.79724,3.62652,179,278,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
101,166,chr1,13376357,13376635,2.79724,3.62652,179,278,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
118,180,chr1,14752567,14752801,3.55442,7.09019,113,234,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
119,180,chr1,14753048,14758480,9.28173,44.54360,3907,5432,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
119,181,chr1,14753048,14758480,9.28173,44.54360,3907,5432,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
121,185,chr1,14917338,14919005,4.01672,10.84375,1333,1667,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
122,185,chr1,14919199,14919694,3.94156,8.72598,326,495,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
123,185,chr1,14919768,14920382,3.13416,5.05829,362,614,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
124,188,chr1,15285269,15285581,3.81441,8.09227,188,312,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
125,188,chr1,15285950,15286629,5.34018,16.54873,158,679,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
126,198,chr1,15890840,15892473,3.43800,8.52352,1199,1633,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
127,198,chr1,15892591,15893153,3.29184,6.29844,409,562,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
128,198,chr1,15893275,15893808,4.05488,11.80403,296,533,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
129,198,chr1,15894244,15895157,4.32300,10.71057,396,913,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
131,206,chr1,16521517,16522158,3.43297,6.28673,43,641,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
132,218,chr1,17095805,17097683,4.83159,13.53732,492,1878,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
133,218,chr1,17097913,17099547,4.70444,12.81219,1241,1634,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
134,236,chr1,18055578,18060885,8.28636,40.93868,4083,5307,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
134,237,chr1,18055578,18060885,8.28636,40.93868,4083,5307,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
135,237,chr1,18061023,18061588,3.55442,7.09019,440,565,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
144,247,chr1,19094428,19114143,13.98617,85.27667,15964,19715,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
144,248,chr1,19094428,19114143,13.98617,85.27667,15964,19715,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
152,250,chr1,19205790,19206605,4.32300,10.71057,133,815,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
153,250,chr1,19206748,19229908,15.00335,94.84741,9761,23160,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
155,251,chr1,19234616,19245176,12.96900,75.94952,4405,10560,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
189,270,chr1,20891449,20892424,3.67699,7.68972,435,975,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
192,296,chr1,21961541,21961839,3.30582,5.71740,142,298,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
193,296,chr1,21961922,21964249,4.95873,14.27391,1178,2327,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
197,300,chr1,22804008,22805591,4.32300,10.71057,312,1583,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
198,300,chr1,22806476,22808026,4.45015,11.39922,349,1550,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
199,300,chr1,22808093,22808668,3.17868,5.16549,311,575,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
204,314,chr1,23759175,23765473,4.93816,23.40819,1947,6298,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
207,315,chr1,23923143,23923903,2.92438,4.11808,544,760,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
213,323,chr1,24584413,24590130,7.88312,33.80991,1533,5717,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
215,361,chr1,25828454,25829014,2.61077,3.29219,414,560,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
216,411,chr1,32171496,32172569,3.30582,5.71740,229,1073,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
221,446,chr1,33904141,33907693,8.26456,36.66135,2261,3552,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
221,447,chr1,33904141,33907693,8.26456,36.66135,2261,3552,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
222,446,chr1,33908231,33910187,7.75597,32.87244,908,1956,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
222,447,chr1,33908231,33910187,7.75597,32.87244,908,1956,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
227,464,chr1,34456351,34459674,7.37453,30.10234,2371,3323,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
228,464,chr1,34459787,34462722,7.47978,32.41115,695,2935,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
229,465,chr1,34470571,34474689,9.66318,47.59611,1211,4118,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
230,465,chr1,34475444,34475769,2.54294,2.70599,79,325,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
232,466,chr1,34485182,34485738,3.68726,7.47371,211,556,ENSMUSG00000101223,,4930568A12Rik,chr1,34477167,34485933,-1
233,469,chr1,34535515,34537894,9.61898,56.15042,1674,2379,ENSMUSG00000026124,12627.0,Cfc1,chr1,34535648,34544313,1
234,470,chr1,34537964,34539696,8.13741,35.70383,185,1732,ENSMUSG00000101803,,Gm28419,chr1,34538086,34538560,-1
235,472,chr1,34577466,34577915,2.85398,4.61392,104,449,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
236,472,chr1,34577989,34579572,5.91937,23.98246,666,1583,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
236,473,chr1,34577989,34579572,5.91937,23.98246,666,1583,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
237,472,chr1,34579768,34580412,4.19585,10.03504,514,644,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
237,473,chr1,34579768,34580412,4.19585,10.03504,514,644,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
238,473,chr1,34580504,34582178,3.94156,8.72598,411,1674,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
240,478,chr1,34675559,34680612,9.66318,47.59611,1857,5053,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
243,479,chr1,34747678,34752892,9.40888,45.55532,3634,5214,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
243,480,chr1,34747678,34752892,9.40888,45.55532,3634,5214,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
244,479,chr1,34753235,34754419,5.08588,15.02141,624,1184,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
244,480,chr1,34753235,34754419,5.08588,15.02141,624,1184,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
254,500,chr1,36065917,36067739,4.82566,14.18946,478,1822,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
263,506,chr1,36303673,36305366,2.62861,4.34628,431,1693,ENSMUSG00000037447,214855.0,Arid5a,chr1,36307733,36324029,1
265,509,chr1,36369471,36369659,2.94159,4.34393,124,188,ENSMUSG00000010453,226976.0,Kansl3,chr1,36335730,36369181,-1
267,512,chr1,36469031,36469345,2.97002,4.42417,132,314,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
268,512,chr1,36469831,36470293,2.87174,4.32258,128,462,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
270,521,chr1,36558894,36559189,3.28206,5.86086,124,295,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
271,521,chr1,36559268,36559706,3.13668,5.24440,159,438,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
272,521,chr1,36559768,36560193,3.56095,7.57133,289,425,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
274,524,chr1,36683148,36683552,2.61077,3.29219,306,404,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
285,540,chr1,37300809,37301215,2.96699,5.47543,107,406,ENSMUSG00000102231,,1700074A21Rik,chr1,37299352,37299697,-1
286,540,chr1,37301279,37301533,3.88635,8.57139,155,254,ENSMUSG00000102231,,1700074A21Rik,chr1,37299352,37299697,-1
293,548,chr1,37539135,37540787,3.24195,7.78767,785,1652,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
294,548,chr1,37541413,37544089,7.59911,32.83477,871,2676,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
297,552,chr1,37718298,37721958,3.89599,12.78671,1167,3660,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
298,555,chr1,37869557,37870144,3.17868,5.16549,250,587,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
308,574,chr1,38835237,38839169,4.78008,13.70525,1915,3932,ENSMUSG00000048814,381338.0,Lonrf2,chr1,38793645,38836711,-1
320,576,chr1,38898545,38899039,4.83159,13.53732,293,494,ENSMUSG00000026080,98388.0,Chst10,chr1,38863867,38898161,-1
321,576,chr1,38899144,38899638,4.19585,10.03504,351,494,ENSMUSG00000026080,98388.0,Chst10,chr1,38863867,38898161,-1
323,584,chr1,39190821,39197367,10.29891,52.79002,3726,6546,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
328,589,chr1,39479752,39480466,3.63238,8.03982,146,714,ENSMUSG00000003134,54610.0,Tbc1d8,chr1,39371492,39478755,-1
329,598,chr1,39647424,39647948,2.69465,4.42274,349,524,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
330,598,chr1,39648537,39651423,5.78910,21.50395,1308,2886,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
330,599,chr1,39648537,39651423,5.78910,21.50395,1308,2886,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
331,599,chr1,39651662,39652917,4.83159,13.53732,565,1255,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
333,600,chr1,39720565,39721009,3.17868,5.16549,316,444,ENSMUSG00000057173,619289.0,Rfx8,chr1,39665301,39720997,-1
338,603,chr1,39898520,39900160,3.30929,5.93985,1365,1640,ENSMUSG00000026074,26921.0,Map4k4,chr1,39900913,40026310,1
341,610,chr1,40323641,40323901,3.17833,5.75347,109,260,ENSMUSG00000070942,107527.0,Il1rl2,chr1,40324610,40367562,1
342,610,chr1,40324180,40328785,9.28173,44.54360,2482,4605,ENSMUSG00000070942,107527.0,Il1rl2,chr1,40324610,40367562,1
343,615,chr1,40580500,40580880,2.04422,1.68242,32,380,ENSMUSG00000026065,110895.0,Slc9a4,chr1,40580081,40630725,1
343,616,chr1,40580500,40580880,2.04422,1.68242,32,380,ENSMUSG00000104441,,Gm35801,chr1,40572188,40580662,-1
351,618,chr1,40677924,40684824,9.28173,44.54360,4586,6900,ENSMUSG00000026062,226999.0,Slc9a2,chr1,40680574,40769273,1
359,633,chr1,42491038,42491294,2.79724,3.62652,122,256,ENSMUSG00000103106,,Gm37047,chr1,42491813,42495663,1
367,636,chr1,42692210,42692727,4.45015,11.39922,250,517,ENSMUSG00000093436,,Gm20646,chr1,42694925,42744791,1
367,637,chr1,42692210,42692727,4.45015,11.39922,250,517,ENSMUSG00000045515,18993.0,Pou3f3,chr1,42694925,42703176,1
368,635,chr1,42696344,42697018,3.27679,6.67574,338,674,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
380,638,chr1,42713174,42713744,3.43297,6.28673,154,570,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
381,638,chr1,42714138,42714560,3.17868,5.16549,258,422,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
382,638,chr1,42714828,42716797,5.05426,16.31570,421,1969,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
386,640,chr1,42849657,42849997,3.17868,5.16549,248,340,ENSMUSG00000060679,69527.0,Mrps9,chr1,42851233,42905683,1
391,653,chr1,43444527,43444947,3.33606,6.23718,266,420,ENSMUSG00000066877,17974.0,Nck2,chr1,43444579,43570515,1
395,705,chr1,45926059,45927572,6.86594,26.51408,330,1513,ENSMUSG00000025993,53945.0,Slc40a1,chr1,45908068,45926523,-1
396,705,chr1,45927648,45928260,3.56012,6.87127,326,612,ENSMUSG00000025993,53945.0,Slc40a1,chr1,45908068,45926523,-1
407,767,chr1,51916601,51916917,4.06871,9.37340,140,316,ENSMUSG00000018417,17912.0,Myo1b,chr1,51749765,51916071,-1
412,774,chr1,52115394,52115624,2.67009,3.15530,124,230,ENSMUSG00000109599,,Gm31812,chr1,52108121,52113751,-1
414,777,chr1,52234488,52235022,3.26369,7.04066,311,534,ENSMUSG00000026103,14660.0,Gls,chr1,52163448,52233232,-1
415,777,chr1,52235298,52235549,2.67009,3.15530,100,251,ENSMUSG00000026103,14660.0,Gls,chr1,52163448,52233232,-1
418,780,chr1,52500800,52501344,3.56012,6.87127,235,544,ENSMUSG00000002881,17936.0,Nab1,chr1,52457294,52500679,-1
419,780,chr1,52501565,52501904,2.37359,2.76397,154,339,ENSMUSG00000002881,17936.0,Nab1,chr1,52457294,52500679,-1
420,789,chr1,52726923,52728804,5.21303,15.78009,1339,1881,ENSMUSG00000041439,98682.0,Mfsd6,chr1,52656286,52727462,-1
421,789,chr1,52728877,52729373,2.92438,4.11808,150,496,ENSMUSG00000041439,98682.0,Mfsd6,chr1,52656286,52727462,-1
424,817,chr1,54195215,54197174,6.23021,22.20815,961,1959,ENSMUSG00000042807,329152.0,Hecw2,chr1,53806876,54195168,-1
426,829,chr1,54927190,54927684,2.32547,2.40937,233,494,ENSMUSG00000052331,329154.0,Ankrd44,chr1,54645340,54926387,-1
427,829,chr1,54928009,54928489,2.79724,3.62652,405,480,ENSMUSG00000052331,329154.0,Ankrd44,chr1,54645340,54926387,-1
428,831,chr1,55051380,55051778,3.68726,7.47371,258,398,ENSMUSG00000025981,67876.0,Coq10b,chr1,55052770,55072702,1
434,840,chr1,55225353,55225704,3.94156,8.72598,113,351,ENSMUSG00000097649,,Gm10561,chr1,55226251,55235622,1
435,844,chr1,55362163,55364995,7.75597,32.87244,757,2832,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
436,847,chr1,55403646,55404123,3.56012,6.87127,137,477,ENSMUSG00000038349,227120.0,Plcl1,chr1,55405921,55754285,1
437,847,chr1,55404699,55405436,3.30582,5.71740,132,737,ENSMUSG00000038349,227120.0,Plcl1,chr1,55405921,55754285,1
438,847,chr1,55405968,55409358,5.34018,16.54873,2066,3390,ENSMUSG00000038349,227120.0,Plcl1,chr1,55405921,55754285,1
461,857,chr1,56967607,56971586,7.50168,31.01864,1638,3979,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
462,858,chr1,56975243,56988926,15.25764,97.27547,9921,13683,ENSMUSG00000104310,,Gm4081,chr1,56976803,56978640,1
462,859,chr1,56975243,56988926,15.25764,97.27547,9921,13683,ENSMUSG00000038331,212712.0,Satb2,chr1,56793981,56978650,-1
481,902,chr1,58796011,58796416,4.06871,9.37340,301,405,ENSMUSG00000102719,,Gm37760,chr1,58797783,58801623,1
495,917,chr1,59377282,59377494,2.49726,2.85837,65,212,ENSMUSG00000099922,,Gm29016,chr1,59378930,59392299,1
501,918,chr1,59448090,59449357,4.00128,9.71386,984,1267,ENSMUSG00000104502,,Gm37737,chr1,59447865,59449502,-1
502,918,chr1,59450236,59451332,3.40535,6.87127,962,1096,ENSMUSG00000104502,,Gm37737,chr1,59447865,59449502,-1
516,928,chr1,59683509,59684147,2.21976,2.03535,159,638,ENSMUSG00000026020,55989.0,Nop58,chr1,59684971,59719044,1
517,939,chr1,60041655,60043029,8.08937,36.57845,864,1374,ENSMUSG00000026018,70375.0,Ica1l,chr1,59982490,60043184,-1
518,939,chr1,60043232,60044988,7.94582,38.10242,908,1756,ENSMUSG00000026018,70375.0,Ica1l,chr1,59982490,60043184,-1
528,972,chr1,61301720,61302112,3.05153,4.63201,173,392,ENSMUSG00000085248,,Gm11587,chr1,61301909,61307746,1
532,980,chr1,61636994,61638508,4.06910,10.20209,236,1514,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
546,994,chr1,62701306,62702900,6.10306,21.37159,1028,1594,ENSMUSG00000025969,18187.0,Nrp2,chr1,62703285,62818695,1
547,994,chr1,62703174,62706980,7.24738,29.19348,2282,3806,ENSMUSG00000025969,18187.0,Nrp2,chr1,62703285,62818695,1
