peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671329,3672241,3.56583,3.50765,723,912,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496622,4497617,3.73743,4.81536,808,995,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496622,4497617,3.73743,4.81536,808,995,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4784582,4786349,18.33064,80.70534,967,1767,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807337,4808843,16.31726,67.43805,667,1506,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807337,4808843,16.31726,67.43805,667,1506,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856859,4857671,8.02291,22.99107,558,812,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857736,4859088,19.84068,90.28566,383,1352,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,54,chr1,6213879,6215819,22.69298,108.65157,1127,1940,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
12,55,chr1,6358789,6359625,6.58590,15.25979,499,836,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
13,57,chr1,6382736,6383339,7.25703,18.04744,317,603,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
14,58,chr1,6441213,6441697,8.59929,23.95709,263,484,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
15,67,chr1,7087978,7088785,15.52651,65.48078,493,807,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
16,67,chr1,7088957,7090079,14.63944,57.22462,287,1122,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
18,74,chr1,7397690,7397916,5.07586,9.25378,131,226,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
19,74,chr1,7398289,7398768,9.77376,30.26188,165,479,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,101,chr1,9544723,9545235,8.23945,32.16402,257,512,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
21,101,chr1,9545409,9546151,9.77376,30.26188,450,742,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
21,102,chr1,9545409,9546151,9.77376,30.26188,450,742,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
22,102,chr1,9547123,9547877,3.23026,2.90761,376,754,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
23,102,chr1,9547979,9548293,4.42403,8.24436,159,314,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,107,chr1,9699226,9701346,14.30387,55.97238,754,2120,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
25,108,chr1,9745398,9745919,4.01650,9.02524,156,521,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
