peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671271,3671718,2.86070,2.62445,213,447,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,32,chr1,4785186,4786335,9.94410,40.38423,374,1149,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807369,4808909,9.89961,43.18194,237,1540,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807369,4808909,9.89961,43.18194,237,1540,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4857265,4857680,3.93073,7.21898,206,415,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
5,35,chr1,4857808,4858828,8.58937,34.08091,494,1020,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,54,chr1,6214657,6215744,13.21284,64.90708,141,1087,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
10,55,chr1,6359192,6359542,3.15686,3.67177,177,350,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
11,57,chr1,6382806,6383212,4.13212,7.46399,247,406,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
12,58,chr1,6441208,6441575,7.31067,23.72271,211,367,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
13,67,chr1,7088136,7089932,10.17136,41.62690,452,1796,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
15,74,chr1,7397639,7397902,4.29104,8.15211,117,263,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
16,74,chr1,7398227,7398752,6.67496,20.10897,254,525,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
17,101,chr1,9544803,9545188,6.03925,16.65583,245,385,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
18,101,chr1,9545382,9546372,6.83388,20.99857,480,990,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
18,102,chr1,9545382,9546372,6.83388,20.99857,480,990,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
19,107,chr1,9699429,9700431,5.67772,16.03422,754,1002,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
