peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3669024,3672764,50.24053,315.05023,2202,3740,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,19,chr1,4496958,4497495,3.79092,4.58895,296,537,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4496958,4497495,3.79092,4.58895,296,537,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,32,chr1,4784839,4786475,50.45071,316.83984,738,1636,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807204,4808978,48.34892,299.01755,810,1774,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807204,4808978,48.34892,299.01755,810,1774,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856956,4859187,42.46390,251.79021,1396,2231,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,47,chr1,5588163,5589270,13.66935,50.31885,356,1107,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916397,5918006,13.51053,73.07804,561,1609,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,54,chr1,6213250,6216288,53.39322,342.05304,1607,3038,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358868,6359669,12.19809,41.84332,501,801,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382691,6383656,26.70046,134.19308,323,965,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441108,6441826,16.19150,65.62163,270,718,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
20,67,chr1,7087848,7090826,39.31121,227.88676,1285,2978,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
22,74,chr1,7397074,7398855,34.89745,194.52631,693,1781,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,95,chr1,9298004,9300795,30.73812,186.97371,1311,2791,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
25,101,chr1,9544776,9546463,36.15852,202.76930,793,1687,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
25,102,chr1,9544776,9546463,36.15852,202.76930,793,1687,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
26,102,chr1,9546609,9546872,5.26218,9.90667,180,263,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
27,104,chr1,9600991,9602988,11.99460,60.24597,604,1997,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
28,107,chr1,9699323,9701430,38.40486,242.55756,1492,2107,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
29,108,chr1,9743782,9745215,11.35738,38.32951,1255,1433,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
30,108,chr1,9745318,9746263,9.65384,31.68639,376,945,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,108,chr1,9746394,9748572,26.89479,227.94057,1606,2178,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
31,109,chr1,9746394,9748572,26.89479,227.94057,1606,2178,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
32,109,chr1,9748622,9748941,5.02339,9.75142,115,319,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
33,110,chr1,9797337,9799242,42.88426,255.24016,1008,1905,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
35,113,chr1,9908326,9908978,8.41486,22.98337,384,652,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
36,114,chr1,9942155,9944798,50.55614,343.27066,1741,2643,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
36,115,chr1,9942155,9944798,50.55614,343.27066,1741,2643,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
