peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,19,chr1,4496913,4497810,3.14135,2.62047,118,897,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496913,4497810,3.14135,2.62047,118,897,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
12,47,chr1,5588568,5588883,3.14135,2.62047,125,315,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
13,51,chr1,5916743,5917016,3.73215,4.11249,205,273,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,54,chr1,6215783,6216542,4.17525,5.83701,537,759,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,55,chr1,6358974,6359234,3.43675,3.62412,98,260,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,95,chr1,9299362,9299789,3.71442,4.94791,181,427,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
21,102,chr1,9548024,9549059,4.32295,6.38311,419,1035,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
26,108,chr1,9745412,9747501,6.53845,13.78598,1591,2089,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
28,114,chr1,9942233,9942622,2.65148,2.67621,190,389,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
30,121,chr1,10035698,10036069,2.88436,3.45053,171,371,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
31,121,chr1,10036253,10036531,4.17525,5.83701,105,278,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
32,121,chr1,10036786,10037126,4.47065,6.38311,204,340,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
33,122,chr1,10038959,10039484,3.34785,3.72730,434,525,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
